Financial Institution,Branch Name,Address,Phone Numbers,Manager,Hours,Minimum Opening Deposit,Minimum Balance,Monthly Fee,Checks included,Check/Debit Card included,Online Bill Pay,Alternative IDs Accepted as Primary Identification,Open Accounts for customers with ChexSystems History,Remittance products available,Wire Transfers,Money Orders,Offer Financial Education,First Overdraft Fees Waived,Overdraft Fees,Bounced Check Fee
Community Trust,CPMC Davies Campus,45 Castro Street San Francisco CA 94114,(415) 565-6343,N/A,"Monday,Friday 8AM-12PM
Wednesday 10AM-12PM",$10 ,$0 ,$3 ,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,$25 ,$25 
Community Trust,Mission District,3269 Mission Street San Francisco CA 94110,(415) 431-2268,N/A,"Mon-Tue, Thu 9 am - 5 pm
Wed 10 am - 5 pm
Fri 10 am - 6 pm",$10 ,$0 ,$3 ,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,$25 ,$25 
Community Trust,Saint Francis Memorial Hospital Branch,"900 Hyde Street, 2nd Floor San Francisco CA 94102",(415) 353-6382,N/A,N/A,$10 ,$0 ,$3 ,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,$25 ,$25 
Community Trust,San Francisco Federal Building Branch,"90 7th Street, 2nd Floor, Suite 850 San Francisco CA 94103",(415) 255-8113,N/A,"Tuesday 9AM-4PM
Thursday 9AM-4PM",$10 ,$0 ,$3 ,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,$25 ,$25 
Community Trust,U.S. Customs Building Branch,"555 Batery Street, Suite 121 San Francisco CA 94111",(415) 956-0655,N/A,"Mon 9 am - 4 pm
Wed 10 am - 4 pm
Fri 9 am - 4 pm",$10 ,$0 ,$3 ,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,$25 ,$25 
East West Bank,Balboa,3601 Balboa Street San Francisco CA 94121,(415) 668-3700,Naomi Tam,"Monday-Thursday, 9AM-5PM,
Friday, 9AM-6PM,
Saturday, 9AM-2PM",$100 ,$0 ,$0 ,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,$18 ,$18 
East West Bank,Broadway,1301 Stockton Street San Francisco CA 94133,(415) 989-4088,Hubert Gee,"Monday-Thursday, 9AM-5PM,
Friday, 9AM-6PM,
Saturday, 9AM-4PM,
Sunday, 9AM-1PM,
First three days of the month - open early at 7:30 am",$100 ,$0 ,$0 ,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,$18 ,$18 
East West Bank,Clement,498 Clement Street San Francisco CA 94118,(415) 668-6888,Rosa Cheung,"Monday-Thursday, 9AM-5PM,
Friday, 9AM-6PM,
Saturday, 9AM-1PM",$100 ,$0 ,$0 ,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,$18 ,$18 
East West Bank,Geary,5501 Geary Boulevard   94121 San Francisco CA 94122,(415) 933-6128,Daniel Leung,"Monday-Thursday, 9AM-5PM,
Friday, 9AM-6PM,
Saturday, 9AM-4PM",$100 ,$0 ,$0 ,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,$18 ,$18 
East West Bank,Irving,2219 Irving Street San Francisco CA 94122,(415) 566-8100,Celia Wong,"Monday-Thursday, 9AM-5PM,
Friday, 9AM-6PM,
Saturday, 9AM-1PM",$100 ,$0 ,$0 ,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,$18 ,$18 
East West Bank,Kearny,900 Kearny Street San Francisco CA 94133,(415) 397-8988,George Fung,"Monday-Thursday, 9AM-5PM,
Friday, 9AM-6PM,
Saturday, 9AM-4PM",$100 ,$0 ,$0 ,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,$18 ,$18 
East West Bank,Montgomery,555 Montgomery Street 94111 San Francisco CA 94111,(415) 391-8912,Michael Kay,"Monday-Thursday, 9AM-5PM,
Friday, 9AM-6PM",$100 ,$0 ,$0 ,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,$18 ,$18 
East West Bank,Noriega/20th Ave.,1301 Noriega Street San Francisco CA 94122,(415) 665-7423,Christina Chang,"Monday-Thursday, 9AM-5PM,
Friday, 9AM-6PM,
Saturday, 9AM-2PM",$100 ,$0 ,$0 ,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,$18 ,$18 
East West Bank,Noriega/32nd Ave.,2533 Noriega Street San Francisco CA 94122,(415) 681-5333,Helen Wong,"Monday-Thursday, 9AM-5PM,
Friday, 9AM-6PM,
Saturday, 9AM-2PM",$100 ,$0 ,$0 ,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,$18 ,$18 
East West Bank,SF Chinatown,1066 Grant Avenue San Francisco CA 94133,(415) 391-1450,Stephen Fong,"Monday-Thursday, 9AM-5PM,
Friday, 9AM-6PM,
Saturday, 9AM-4PM,
Sunday, 9AM-1PM,
First three days of the month - open early at 7:30 am",$100 ,$0 ,$0 ,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,$18 ,$18 
East West Bank,Washington,743 Washington Street  San Francisco CA 94108,(415) 421-5215,Cynthia Lau,"Monday-Thursday, 9AM-5PM,
Friday, 9AM-6PM,
Saturday, 9AM-4PM",$100 ,$0 ,$0 ,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,$18 ,$18 
Northeast Community FCU,Chinatown,683 Clay St. San Francisco CA 94111,(415) 434-0738,Lily Lo,"Monday-Friday, 9AM-5PM",$25 ,$0 ,$0 ,No,No,No,Yes,Yes,No,No,Yes,Yes,No,$20 ,$25 
Northeast Community FCU,Howard,992 Howard St. San Francisco CA 94103,(415) 546-3997,N/A,"Monday-Friday, 9AM-4PM",$25 ,$0 ,$0 ,No,No,No,Yes,Yes,No,No,Yes,Yes,No,$20 ,$25 
Northeast Community FCU,Tenderloin,288 Jones  San Francisco CA 94102,(415) 441-7283,Lily Lo,"Monday- Friday, 11AM 4PM",$25 ,$0 ,$0 ,No,No,No,Yes,Yes,No,No,Yes,Yes,No,$20 ,$25 
Patelco Credit Union,Daly City,65 Southgate Ave. San Francisco CA 94015,(650) 985-1033,Alex Leon," Monday - Thursday, 10AM - 6PM
Friday, 9AM - 6PM
Saturday, 10AM - 2PM",$10 ,$0 ,$0 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,$23 ,$28 
Patelco Credit Union,SOMA,124 2nd St. San Francisco CA  94105,(415) 442-7123,Julia Smay,"Monday, Tuesday and Thursday 7:30AM-5PM,
Wednesday, 9AM-5PM,
Friday, 7:30AM-6PM",$10 ,$0 ,$0 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,$23 ,$28 
Patelco Credit Union,Sunset,1405 Noriega St. San Francisco CA 94122,(800) 358- 8228,Luis Gaerlan,"Monday - Thursday, 10AM - 6PM
Friday, 9AM - 6PM
Saturday, 10AM - 2PM",$10 ,$0 ,$0 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,$23 ,$28 
Redwood Credit Union,Tenderloin,1390 Market Street San Francisco CA 94102,(800) 479-7928,Any Representative,Monday- Friday 8:30Am-5:00PM,$0 ,$0 ,$0 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$23.00 ,$22 
Redwood Credit Union,Financial District,241 California Street San Francisco CA 94104,(800) 479-7928,Any Representative,Monday- Friday 8:30Am-5:00PM,$0 ,$0 ,$0 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$23.00 ,$22 
San Francisco FCU,Geary,4375 Geary Blvd. San Francisco CA 94118,(415) 359-2929,Bernadette Bardine,"Tue-Wed, Fri 9 am - 5:30 pm
Thu 10 am - 5:30 pm
Sat 9 am - 3 pm",$10 ,$0 ,$5 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$25 ,$22 
San Francisco FCU,Lakeside Village,2645 Ocean Ave San Francisco CA  94132,(415) 359-2919,Rich Moscardino,"Tue-Wed, Fri 9 am - 5:30 pm
Thu 10 am - 5:30 pm
Sat 9 am - 3 pm",$10 ,$0 ,$5 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$25 ,$22 
San Francisco FCU,Main,770 Golden Gate Ave San Francisco CA 94102,(415) 359-2949,Bert Lee,"Monday-Wednesday,
Thursday 10am-5:30pm,
Friday 8:30am - 5:30 pm,
Saturday 9:00 am-3:00pm",$10 ,$0 ,$5 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,$25 ,$22 
Spectrum FCU,Financial District,50 Beale St. San Francisco CA 94105,(415) 777-3960,Ricky Tolbert,N/A,$25 ,$0 ,$0 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$25 ,$29 
Union Bank,8th & Townsend,640 Townsend St. San Francisco CA 94103,(415) 558-8703,Jerry Kassis, Monday-Friday 9:00am-5:00pm ,$100 ,$0 ,$3 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,$33 ,$34 
Union Bank,Japan Center,1675 Post St. San Francisco CA 94115,(415) 252-0350,Masanori Okuda ,"Monday-Thursday 9am-4pm
Friday 10:00am-5:00pm
Saturday 10:00am-1:00pm ",$100 ,$0 ,$3 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,$33 ,$34 
Union Bank,Laurel Heights,3473 California St. San Francisco CA 94118,(415) 379-5000,N/A,"Monday-Thursday 9am-6pm
Friday 9am-6pm
Saturday 9am-2pm ",$100 ,$0 ,$3 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,$33 ,$34 
Union Bank,San Francisco Main,"400 California St, 1st Fl. San Francisco CA 94104",(415) 765-3434,Conchita Miller, Monday-Friday 9:00am-5:00pm,$100 ,$0 ,$3 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,$33 ,$34 
Union Bank,Sutter & Montgomery,44 Montgomery Street  San Francisco CA 94104,(415) 288-9040,Anthony Riddle, Monday-Friday 9:00am-5:00pm,$100 ,$0 ,$3 ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,$33 ,$34 
US Bank,Excelsior,4610 Mission St. San Francisco CA  94112,(415) 334-4600,Kalvin Lam,"Monday - Thursday, 9AM - 5PM
Friday, 9AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$8.95 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
US Bank,Irving,1850 Irving St. San Francisco CA 94122,(415) 661-5353,Emei Wade,"Monday - Thursday, 9AM - 6PM
Friday, 8AM - 6PM
Saturday, 9AM - 2PM",$25 ,$0 ,$8.95 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
US Bank,Irving-Andronico's,1200 Irving St. San Francisco CA  94122,(415) 665-7000,Emei Wade,"Monday - Thursday, 9AM - 6PM
Friday, 8AM - 6PM
Saturday, 9AM - 2PM",$25 ,$0 ,$8.95 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
US Bank,Lakeside/Ocean,2856 Ocean Ave. San Francisco CA 94132,(415) 759-3950,Yoko Wong,"Monday - Thursday, 9AM - 6PM
Friday, 8AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$8.95 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
US Bank,Mission,2601 Mission St. San Francisco CA 94110,(415) 826-8410,Julie Pedraza,"Monday - Thursday, 8AM - 5PM
Friday, 8AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$8.95 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
US Bank,Montgomery,201 Montgomery St. San Francisco CA 94105,(415) 421-6364,Christianne Barroga,"Monday - Thursday, 8AM - 5PM
Friday, 8AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$8.95 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
US Bank,North Beach/Chinatown,1435 Stockton St. San Francisco CA 94133,(415) 391-6210,Ronald Cheng,"Monday - Thursday, 8AM - 5PM
Friday, 8AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$8.95 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
US Bank,Pacifica,1655 Oceana St. San Francisco CA 94044,(650) 355-4144,Robert Aldape,"Monday-Thursday 9AM-5PM
Friday 9AM-6PM
Saturday 9AM-1PM",$25 ,$0 ,$8.95 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
US Bank,Richmond,3550 Geary Blvd. San Francisco CA 94118,(415) 387-0331,Chona Sommers," Monday - Thursday, 8AM - 5PM
Friday, 8AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$8.95 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
US Bank,Serramonte (Daly City),329 Gellert Blvd. San Francisco CA 94015,(650) 992-9650,Carol Zell,"Monday - Thursday, 8AM - 5PM
Friday, 8AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$8.95 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
US Bank,South San Francisco,370 Grand Ave. San Francisco CA 94080,(650) 244-4825,Linda Lam,"Monday - Thursday, 8AM - 5PM
Friday, 8AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$8.95 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
US Bank,Westlake (Daly City),95 Southgate Ave. San Francisco CA 94015,(650) 756-4255,Mary Lau,"Monday - Thursday, 8AM - 5PM
Friday, 8AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$8.95 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
US Bank,Bayview,4947 Third St. San Francisco CA 94124,(415) 330-1824,N/A,"Monday - Thursday, 9AM - 6PM
Friday, 8AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$8.95 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
US Bank,California,101 California St. Ste. 130 San Francisco CA 94111,(415) 399-8060,Jane Pang,"Monday - Thursday, 8AM - 5PM
Friday, 8AM - 6PM
Saturday, 9AM - 2PM",$25 ,$0 ,$8.95 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
US Bank,Castro,443 Castro St.  San Francisco CA  94114,(415) 431-6700,N/A," Monday - Thursday, 8AM - 5PM
Friday, 8AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$8.95 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
US Bank,Civic Center,"540 Van Ness Ave., (at McCallister) San Francisco CA 94102",(415) 703-6080,Linda Lam,"Monday - Thursday, 8AM - 5PM
Friday, 8AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$8.95 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
US Bank,Downtown/ Union Square,525 Market St. (at First Str.) San Francisco CA 94104,(415)777-9352,Cesario Calanoc,"Monday - Thursday, 8AM - 5PM
Friday, 8AM - 6PM
Saturday, 9AM - 1PM",$25 ,$0 ,$8.95 ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,Columbus Avenue,468 Columbus Ave. San Francisco CA 94133,(415) 396-2747,Joanne Park,"Monday-Saturday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,Cow Hollow,1900 Union St. San Francisco CA 94123,(415) 396-4890,Christina Diercks,"Monday-Saturday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,Fillmore/California,2100 Fillmore St. San Francisco CA 94115,(415) 396-4453,Reena S. Carvallo,"Monday-Saturday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,Geary 19th,5455 Geary Blvd. San Francisco CA 94121,(415) 396-3645,Gail Dela Calzada,"Monday-Friday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,Geary Arguello,3624 Geary Blvd. San Francisco CA 94118,(415) 396-4188,Christina Ha,"Monday-Friday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,Irving,725 Irving St. San Francisco CA 94122,(415) 396-4394,Danny Yuen,"Monday-Friday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,La Playa Safeway,850 La Playa Safeway San Francisco CA 94121,(415) 831-0615,Rachel Russell,"Mon-Sat 10:00 AM-07:00 PM
Sun 11:00 AM-04:00 PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,Laurel,3431 California St. San Francisco CA 94118,(415) 544-5063,Eric Tang,Mon-Sat 09:00 AM-06:00 PM,$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,Marina,2055 Chestnut St. San Francisco CA 94123,(415) 396-4507,Poliana Junqueira,"Monday-Friday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,Market & Church,2020 Market St. San Francisco CA 94114,(415) 865-1486,Robert Ashpole,"Mon-Sat 10:00 AM-07:00 PM 
Sun 11:00 AM-04:00 PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,Market/California,1 California St. San Francisco CA 94111,(415) 396-2779,Michael Kyle,"Monday-Friday, 9AM-6PM
Saturday 9 am - 4 pm",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,Mission Ocean,4648 Mission St. San Francisco CA 94112,(415) 396-3091,Brian Van Breemen,"Monday-Friday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,Noe Valley,4045 24th street San Francisco CA 94114,(415) 550-0128,Gail Dela Calzada,"Monday-Friday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,North Point Center,350 Bay St. San Francisco CA 94133,(415) 222-3370,Helen Lin,"Mon-Sat 10:00 AM-07:00 PM
Sun 11:00 AM-04:00 PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,San Francisco Main,464 California St. San Francisco CA 94104,(415) 396-7392,Nancy Padilla-Rojas,Mon-Fri 09:00 AM-06:00 PM,$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,Stonestown,599 Buckingham Way San Francisco CA 94132,(415) 682-2424,Afsie Jalali,"Monday-Friday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,The Castro,557 Castro St. San Francisco CA 94114,(415) 621-0122,Cesar Aravena,"Monday-Friday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,The Haight,1726 Haight St. San Francisco CA 94117,(415) 379-2580,Andrew Esposto,Mon-Sat 09:00 AM-06:00 PM,$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,Webster,1335 Webster St. San Francisco CA 94115,(415) 222-5285,Chris Fryday,"Monday-Friday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,22nd & Mission,2595 Mission St. San Francisco CA 94110,(415) 396-8103,Victor Ruffrage,"Monday-Friday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,West Portal,145 West Portal Ave. San Francisco CA 94127,(415) 396-3506,Hannah Wang,"Monday-Friday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,24th & Irving,2300 Irving St. San Francisco CA 94122,(415) 682-2400,Jennifer Su,"Monday-Friday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,Bayview Hunter's Point,"3801 3rd St., Ste 116 San Francisco CA 94124",(415) 401-1320,Denise Woo,"Monday-Friday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,Broadway Grant,1160 Grant Ave. San Francisco CA 94133,(415) 396-2744,Derek Fong,"Monday-Friday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
Wells Fargo,Bush/Divisadero Brn. Ctr.,1750 Divisadero St. San Francisco CA 94115,(415) 222-4553,Poliana Junqueira,"Monday-Friday, 9AM-6PM",$50 ,$0 ,$9 ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,$35 ,$35 
