ResourceAgencyNum,PublicName,AlternateName,OfficialName,TaxonomyLevelName,ParentAgency,ParentAgencyNum,RecordOwner,UniqueIDPriorSystem,MailingAttentionName,MailingAddress1,MailingAddress2,MailingCity,MailingStateProvince,MailingPostalCode,MailingCountry,MailingAddressIsPrivate,PhysicalAddress1,PhysicalAddress2,PhysicalCity,PhysicalCounty,PhysicalStateProvince,PhysicalPostalCode,PhysicalCountry,PhysicalAddressIsPrivate,OtherAddress1,OtherAddress2,OtherCity,OtherCounty,OtherStateProvince,OtherPostalCode,OtherCountry,Latitude,Longitude,HoursOfOperation,Phone1Number,Phone1Name,Phone1Description,Phone1IsPrivate,Phone1Type,Phone2Number,Phone2Name,Phone2Description,Phone2IsPrivate,Phone2Type,Phone3Number,Phone3Name,Phone3Description,Phone3IsPrivate,Phone3Type,Phone4Number,Phone4Name,Phone4Description,Phone4IsPrivate,Phone4Type,Phone5Number,Phone5Name,Phone5Description,Phone5IsPrivate,Phone5Type,PhoneFax,PhoneFaxDescription,PhoneFaxIsPrivate,PhoneTTY,PhoneTTYDescription,PhoneTTYIsPrivate,PhoneTollFree,PhoneTollFreeDescription,PhoneTollFreeIsPrivate,PhoneNumberHotline,PhoneNumberHotlineDescription,PhoneNumberHotlineIsPrivate,PhoneNumberBusinessLine,PhoneNumberBusinessLineDescription,PhoneNumberBusinessLineIsPrivate,PhoneNumberOutOfArea,PhoneNumberOutOfAreaDescription,PhoneNumberOutOfAreaIsPrivate,PhoneNumberAfterHours,PhoneNumberAfterHoursDescription,PhoneNumberAfterHoursIsPrivate,EmailAddressMain,WebsiteAddress,AgencyStatus,AgencyClassification,AgencyDescription,SearchHints,CoverageArea,CoverageAreaText,Eligibility,EligibilityAdult,EligibilityChild,EligibilityFamily,EligibilityFemale,EligibilityMale,EligibilityTeen,SeniorWorkerName,SeniorWorkerTitle,SeniorWorkerEmailAddress,SeniorWorkerPhoneNumber,SeniorWorkerIsPrivate,MainContactName,MainContactTitle,MainContactEmailAddress,MainContactPhoneNumber,MainContactType,MainContactIsPrivate,LicenseAccreditation,IRSStatus,FEIN,YearIncorporated,AnnualBudgetTotal,LegalStatus,SourceOfFunds,ExcludeFromWebsite,ExcludeFromDirectory,DisabilitiesAccess,PhysicalLocationDescription,BusServiceAccess,PublicAccessTransportation,FeeStructureSource,ApplicationProcess,ResourceInfo,DocumentsRequired,LanguagesOffered,LanguagesOfferedList,AvailabilityNumberOfTimes,AvailabilityFrequency,ServiceNotAlwaysAvailability,CapacityType,ServiceCapacity,NormalWaitTime,AvailabilityPeriod,TemporaryMessage,TemporaryMessageAppears,TemporaryMessageExpires,EnteredOn,UpdatedOn,MadeInactiveOn,InternalNotes,InternalNotesForEditorsAndViewers,HighlightedResource,LastVerifiedOn,LastVerifiedByName,LastVerifiedByTitle,LastVerifiedByPhoneNumber,LastVerifiedByEmailAddress,LastVerificationApprovedBy,AvailableForDirectory,AvailableForReferral,AvailableForResearch,PreferredProvider,ConnectsToSiteNum,ConnectsToProgramNum,LanguageOfRecord,CurrentWorkflowStepCode,Categories,TaxonomyTerm,TaxonomyTerms,TaxonomyTermsNotDeactivated,TaxonomyCodes,Coverage,Hours,Custom_rqa,Max Of rowid,Tax
10597832,"SAN FRANCISCO LESBIAN, GAY, BISEXUAL, TRANSGENDER COMMUNITY CENTER",,,Agency,"SAN FRANCISCO LESBIAN, GAY, BISEXUAL, TRANSGENDER COMMUNITY CENTER",0,,Agency2439,,,,,,,United States,No,1800 Market Street,,San Francisco,San Francisco,CA,94102,United States,No,,,,,CA,,United States,37.779805,-122.417362,,415-865-5664,Information and Referral,,FALSE,,415-865-5664,Main,,FALSE,,415-865-5555,Main,,FALSE,,,,,FALSE,,,,,FALSE,,415-865-5501,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,center@sfcenter.org,www.sfcenter.org,Active,Nonprofit (501(c)(3)),"Provides space for LGBT oriented nonprofit projects to operate, develops community leadership and provides direct support for individuals in need",10597832,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,No,Rebecca Rolfe,Executive Director,rebeccar@sfcenter.org,,,No,,None or unknown,,,,Nonprofit - Incorporated,Fees; Donations; Grants;,No,No,Restroom accessible; Special parking; All floors accessible; Building entrance accessible;,,Muni: All Market Street lines,,,,,,,,,,,,,,,,,,6/23/03,2/26/14,,,,FALSE,4/26/11,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,16927,Gay/Lesbian/Bisexual/Transgender Issues
10597834,SAN FRANCISCO MEDICAL SOCIETY,,,Agency,SAN FRANCISCO MEDICAL SOCIETY,0,,Agency2441,,,,,,,United States,,1003 A O'Reilly Avenue,,San Francisco,San Francisco,CA,94129,United States,,,,,,,,,37.796987,-122.462741,,415-561-0850,Main,,,,,,,,,,,,,,,,,,,,,,,,415-561-0833,,,,,,,,,,,,,,,,,,,,,,www.sfms.org,Active,Nonprofit (501(c)(6)),Provides the public with referrals to member physicians and mediates complaints about member physicians,10597834,,,,,,,,,,Mary Lou Licwinko,Executive Director,mll@sfms.org,,,Steve Heilig,"Director, Public Health & Education",heilig@sfms.org,,,,,,,,,Nonprofit - Incorporated,Donations; Fees;,No,No,Not necessary for service;,,MUNI - 29 Sunset,,,,,,,,,,,,,,,,,,12/5/97,4/23/12,,,,,11/2/05,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,16934,Psychiatrist Referrals
10597836,SAN FRANCISCO MENTAL HEALTH CLIENTS RIGHTS ADVOCATES,,,Agency,SAN FRANCISCO MENTAL HEALTH CLIENTS RIGHTS ADVOCATES,0,,Agency2443,,,,,,,United States,,"944 Market Street, Suite 705",,San Francisco,San Francisco,CA,94102,United States,,,,,,,,,37.779805,-122.417362,,800-729-7727,Alternate Main,,,,415-552-8100,Main,,,,,,,,,,,,,,,,,,,415-552-8109,,,,,,,,,,,,,,,,,,,,,,,Active,Nonprofit (501(c)(3)),Advocates for the legal rights and protection of patients and residents in public and private mental health and community care facilities,10597836,,,,,,,,,,Robert Marquez,Director,rmarquez@sonic.net,,,Sheryl Abbeduto,,sheryla@sonic.net,,,,,,,,,Nonprofit - Incorporated,State; Donations;,Yes,No,Restroom accessible; Building entrance accessible;,,Muni: Market Street Lines; BART: Powell Street Station,,,,,,,,,,,,,,,,,,9/24/86,2/16/12,,,,,1/23/12,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,16941,Mental Health Issues
10597838,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY (SFMTA) SAN FRANCISCO MUNICIPAL RAILWAY (MUNI),,,Agency,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY (SFMTA) SAN FRANCISCO MUNICIPAL RAILWAY (MUNI),0,,Agency2445,,,,,,,United States,,"1 South Van Ness Avenue, 6th Floor",,San Francisco,San Francisco,CA,94103,United States,,,,,,,,,37.773969,-122.410448,,415-701-4500,Main,,,,415-701-3000,SFMTA Customer Service Center,,,,415-701-4485,Accessibility & Wheelchair Information,,,,311,MUNI Lifeline/Customer Service Line,,,,,,,,,,,,415-701-2323,,,,,,,,,,,,,,,,,,www.sfmta.com/contact,www.sfmta.com/cms/home/sfmta.php,Active,City and County,"Operates the Department of Parking & Traffic (DPT), including the Parking Authority, and the San Francisco Municipal Railway (Muni) that provides public transportation for the City and County of San Francisco",10597838,,,,,,,,,,"Nathaniel P. Ford, Sr.",Executive Director,,,,Kenneth McDonald,Director of Muni Operations,,,,,,,,,,Government - City,City; County; Fees;,No,No,Wheelchair accessibility - Varies according to location,,Not necessary for service,,,,,,,,,,,,,,,,,,5/22/96,12/19/11,,,,,6/7/11,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,16949,Rail Transportation System Complaints
10597840,SAN FRANCISCO NETWORK MINISTRIES,,,Agency,SAN FRANCISCO NETWORK MINISTRIES,0,,Agency2447,,,,,,,United States,No,559 Ellis Street,,San Francisco,San Francisco,CA,94109,United States,No,,,,,CA,,United States,37.793547,-122.419329,,415-928-6209,Main,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,415-928-5752,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,sfnm@pacbell.net,www.sfnetworkministries.org,Inactive,Nonprofit (501(c)(3)),"Engages in political organizing, advocacy, service provision, and direct action to address issues of importance to the Tenderloin indigent and homeless communities",10597840,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Glenda Hope,Executive Director,,,No,Susan Wong,Director of Operations and Development,,,,No,,None or unknown,,,,Nonprofit - Incorporated,Grants; Donations; Independent Fund Raising;,No,No,Building entrance accessible; Restroom accessible; All floors accessible;,,"MUNI - 19 Polk, 27 Bryant, 31 Balboa, 38 Geary",,,,,,,,,,,,,,,,,,12/18/89,2/27/14,2/27/14,"Agency suppressed per Glenda Hope, 2/27/14 tz",,FALSE,5/29/12,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,16964,Homeless People
10597842,SAN FRANCISCO NETWORK OF MENTAL HEALTH CLIENTS SPIRITMENDERS COMMUNITY CENTER,,,Agency,SAN FRANCISCO NETWORK OF MENTAL HEALTH CLIENTS SPIRITMENDERS COMMUNITY CENTER,0,,Agency2449,,,,,,,United States,,"2940 - 16th Street, Suite B2",,San Francisco,San Francisco,CA,94103,United States,,,,,,,,,37.773969,-122.410448,,415-552-8564,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sfnmhc@energy-net.org,,Inactive,Nonprofit (501(c)(3)),A membership organization offering peer support to individuals who have experienced the mental health system firsthand as a patient or client,10597842,,,,,,,,,,Heidi Genoves,Executive Director,sfnmhc@energy-net.org,,,,,,,,,,,,,,Nonprofit - Incorporated,Grants; Donations;,No,No,Restroom accessible; All floors accessible; Large type books; Building entrance accessible;,,"Muni: 12 Folsom, 14 Mission, 22 Fillmore,  33 Stanyan, 49 Van Ness-Mission; BART: 16th Street Station",,,,,,,,,,,,,,,,,,7/20/04,3/28/11,,3/28/2011 Unable to contact by phone; apparently out of business -ZD,,,10/14/05,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,16970,Mental Health Issues
10597844,SAN FRANCISCO NIGHT MINISTRY,,,Agency,SAN FRANCISCO NIGHT MINISTRY,0,,Agency2451,,,,,,,United States,,1031 Franklin Street,,San Francisco,San Francisco,CA,941096801,United States,Yes,,,,,,,,37.793547,-122.419329,,415-441-0123,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sfnightministry@aol.com,www.sfnightministry.org,Active,Nonprofit (501(c)(3)),Provides lay volunteers and ordained clergy for telephone and in-person crisis counseling and referral,10597844,,,,,,,,,,Reverend Lyle Beckman,Night Minister,beckman@sfnightministry.org,,,Reverend Thom Longino,Assistant Night Minister,longino@sfnightministry.org,,,,,,,,,Nonprofit - Incorporated,Donations; Grants;,No,No,Not necessary for service;,,Not necessary for service,,,,,,,,,,,,,,,,,,2/20/86,11/27/12,,,,,5/15/12,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,16975,In Person Crisis Intervention
10597279,SAN FRANCISCO NOW,,,Agency,SAN FRANCISCO NOW,0,,Agency1907,,,,,,,United States,,"3543 - 18th Street, Suite 3",,San Francisco,San Francisco,CA,94110,United States,,,,,,,,,37.748423,-122.413671,,415-721-3238,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sanfrancisconow@gmail.com,www.sfnow.org,Active,Nonprofit (501(c)(4)),"Promotes the interests, rights and power of women",10597279,,,,,,,,,,Deborah Glenn-Rogers,President,,,,,,,,,,,,,,,Nonprofit - Incorporated,Donations; Independent Fund Raising; Membership Dues;,Yes,No,Building entrance accessible; Restroom accessible; All floors accessible;,The Women's Building,"Muni: 14 Mission,  33 Ashbury, 49 Van Ness-Mission; BART: 16th Street Station",,,,,,,,,,,,,,,,,,4/19/86,11/30/12,,,,,9/14/05,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,16982,Women's Issues
10596537,SAN FRANCISCO OFFICE OF THE CITY ATTORNEY,,,Agency,SAN FRANCISCO OFFICE OF THE CITY ATTORNEY,0,,Agency12648,,,,,,,United States,No,1 Dr. Carlton B. Goodlett Place,,San Francisco,San Francisco,CA,94102,United States,No,,,,,CA,,United States,37.779805,-122.417362,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,FALSE,,,FALSE,311,San Francisco City Information Line,FALSE,855-581-2350,Settlement Hotline,FALSE,,,FALSE,,,FALSE,,,FALSE,MoneyMartSettlement@sfgov.org,http://sfcityattorney.org,Inactive,City,"Ensures a statewide outreach effort to refund up to $4.3 million to California consumers who obtained four-month installment loans online via the web site(s) www.checkngo.com, www.ilp.fbdul.com and/or www.commandlaons.com between November 2006 through Jun",10596537,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dennis Herrera,City Attorney,,,No,Kevin Easton,Community Relations Coordinator,cityattorney@sfgov.org,415-554-4706,,No,,None or unknown,,,,None or unknown,City; County;,No,No,,Office Of The City Attorney,"MUNI - F. Golden Gate - 10, 70. BART - Civic Center Station",,,,,,,,,,,,,,,,,,7/25/12,2/26/14,,,,FALSE,,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,16983,Court Ordered Victim Restitution Services
10597703,SAN FRANCISCO ONE STOP CAREER LINK CENTERS,,,Agency,SAN FRANCISCO ONE STOP CAREER LINK CENTERS,0,,Agency2301,,,,,,,United States,No,,,San Francisco,San Francisco,CA,94110,United States,No,,,,,CA,,United States,37.748423,-122.413671,"Monday-Friday, 9-5",,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,www.onestopsf.org,Active,Collaborative,"Offers a variety of free job search, career development and employment resources for all San Francisco jobseekers and employers including job listings, job skills matching, vocational assessment, training options, resume workshops, interview preparation a",10597703,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Shawishi Monroe,Career Center Coordinator,,,No,Jorge A. Tapia,"Cluster Manager, San Francisco/San Mateo Counties",jorge.tapia@edd.ca.gov,415-749-7590,,Yes,,None or unknown,,,,Coalition,City; County; State; Grants;,No,No,Building entrance accessible; Restroom accessible; Special parking; All floors accessible; Interpreter for the deaf; Information on tape or in Braille for the blind;,,"MUNI - 5 Fulton, 47 Van Ness, 49 Van Ness/Mission. BART - Civic Center Station",,,,,,,,,,,,,,,,,,11/25/02,8/19/13,,"7/2/10 Chinatown Center closed.  New Chinatown Center opening October 1st, 2010 at Self Help for the Elderly. -DM",,FALSE,7/26/07,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,17027,Discount Transit Passes
10597846,SAN FRANCISCO PARATRANSIT,,,Agency,SAN FRANCISCO PARATRANSIT,0,,Agency2453,,,,,,,United States,,"68 - 12th Street, 1st Floor",,San Francisco,San Francisco,CA,941031297,United States,,,,,,,,,37.773969,-122.410448,,415-351-7050,Intake,,,,415-351-7000,Main,,,,415-351-7094,Shop-a-Round,,,,,,,,,,,,,,415-351-3135,,,415-351-3942,,,,,,,,,,,,,,,,,,sfparatransit@veoliatransportation.com,www.sfparatransit.com/Index.aspx,Active,County,Provides specialized van and taxi transportation services to individuals with disabilities who are not able to use public transportation without assistance,10597846,,,,,,,,,,Marc Soto,General Manager,,,,Paul Okunewitch,Director of Operations,paul.okunewitch@veoliatransdev.com,,,,,,,,,Government - County,Federal; City; County; State;,No,No,Large type books; Interpreter for the deaf; Not necessary for service; Information on tape or in Braille for the blind;,,"MUNI - All Market Street lines, 14 Mission, 47 Van Ness, 49 Van Ness-Mission, 71 Haight-Noriega",,,,,,,,,,,,,,,,,,7/14/86,2/29/12,,,,,3/27/09,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,17031,Errand Running/Shopping Assistance
13589584,SAN FRANCISCO PEER RESOURCES,,,Agency,SAN FRANCISCO PEER RESOURCES,0,,,,,,,CA,,United States,No,"727 Golden Gate Avenue, 2/F",,San Francisco,San Francisco,CA,94102,United States,No,,,,,CA,,United States,37.779805,-122.417362,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,415-241-6213,,FALSE,,,FALSE,,,FALSE,,,FALSE,415-241-3030 x13017,,FALSE,,,FALSE,,,FALSE,ptam@peerresources.org,www.peerresources.org,Active,,,13589584,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,No,Pui Ling Tam,Director,ptam@peerresources.org,,,No,,None or unknown,,,,Nonprofit - Incorporated,,No,No,Wheelchair accessible,,,,,,,,,,,,,,,,,,,,7/3/13,7/3/13,,,,FALSE,,,,,,Tony Zhou,,,,0,,,en,,,,,,,,,,17032,Youth Enrichment Programs
10597848,SAN FRANCISCO POLICE ACTIVITIES LEAGUE,,,Agency,SAN FRANCISCO POLICE ACTIVITIES LEAGUE,0,,Agency2455,,,,,,,United States,,"350 Amber Drive, Room 203",,San Francisco,San Francisco,CA,94131,United States,,,,,,,,,37.743821,-122.440008,,415-401-4666,Main,,,,,,,,,,,,,,,,,,,,,,,,415-401-4670,,,,,,,,,,,,,,,,,,,,,info@sfpal.org,www.sfpal.org,Active,Nonprofit (501(c)(3)),Provides sports and educational activities for youth residing in or attending school in San Francisco,10597848,,,,,,,,,,Lorraine Woodruff-long,Director,Lorraine@sfpal.org,,,Joanna Doyle,Program Coordinator,joanna@sfpal.org,,,,,,,,,Nonprofit - Incorporated,Grants; Independent Fund Raising; Donations; City; Fees;,No,No,Building entrance accessible; Restroom accessible; Varies according to location;,San Francisco Police Academy,"MUNI- 48 Quintara, 52 Excelsior",,,,,,,,,,,,,,,,,,1/30/87,6/22/11,,,,,6/21/11,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,17050,Youth
10597850,SAN FRANCISCO POLICE COMMISSION OFFICE OF CITIZEN COMPLAINTS,,,Agency,SAN FRANCISCO POLICE COMMISSION OFFICE OF CITIZEN COMPLAINTS,0,,Agency2457,,,,,,,United States,,"25 Van Ness Avenue, Suite 700",,San Francisco,San Francisco,CA,94102,United States,,,,,,,,,37.779805,-122.417362,,415-241-7711,Main,,,,,,,,,,,,,,,,,,,,,,,,415-241-7733,,,415-241-7700,,,,,,,,,,,,,,,,,,occ.311@sfgov.org,www.sfgov.org/occ,Active,City and County,A civilian-staffed commission that receives and investigates complaints against officers of the San Francisco Police Department,10597850,,,,,,,,,,Joyce Hicks,Director,,,,Charles Gallman,Chief Investigator,,,,,,,,,,Government - City,City; County;,No,No,Building entrance accessible; Interpreter for the deaf; Restroom accessible; All floors accessible;,,"MUNI - F Market, J Church, K Ingleside, L Taraval, M Ocean View, N Judah, 6 Parnassus, 9 San Bruno, 14 Mission, 21 Hayes, 47 Van Ness, 49 Van Ness-Mission, 71 Haight-Noriega",,,,,,,,,,,,,,,,,,5/16/95,12/3/12,,,,,5/4/12,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,17051,Law Enforcement Complaints
10597852,SAN FRANCISCO PRETRIAL DIVERSION PROJECT,,,Agency,SAN FRANCISCO PRETRIAL DIVERSION PROJECT,0,,Agency2459,,,,,,,United States,,567 - 7th Street,,San Francisco,San Francisco,CA,94103,United States,,,,,,,,,37.773969,-122.410448,,415-626-4995,Main,,,,415-552-2202,Own Recognizance Project,,,,,,,,,,,,,,,,,,,415-626-3871,,,,,,,,,,,,,,,,,,,,,info@sfpretrial.com,www.sfpretrial.com,Active,Nonprofit (501(c)(3)),"Provides educational, rehabilitation and community service programs as alternatives to jail sentences for first time misdemeanor offenders",10597852,,,,,,,,,,Will Leong,Executive Director,,,,Richard Rendon,Deputy Director,richard_rendon@sfpretrial.com,,,,,,,,,Nonprofit - Incorporated,Grants; County; City;,Yes,No,Building entrance accessible; First floor only accessible;,,"Muni: 10 Townsend, 19 Polk, 27 Bryant, 47 Van Ness",,,,,,,,,,,,,,,,,,3/24/86,6/21/11,,,,,8/28/09,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,17054,Own Recognizance
10597862,SAN FRANCISCO PUBLIC LIBRARY,,,Agency,SAN FRANCISCO PUBLIC LIBRARY,0,,Agency2465,,,,,,,United States,,100 Larkin Street,,San Francisco,San Francisco,CA,94102,United States,,,,,,,,,37.779805,-122.417362,,415-557-4253,Library for the Blind and Print Disabled,,,,415-557-4345,Library on Wheels,,,,415-557-4557,Friends For Life,,,,415-557-4400,Main,,,,415-557-4388,Project Read,,,,415-557-4531,,,,,,,,,,,,,,,,,,,,,citylibrarian@sfpl.org,www.sfpl.org,Active,City and County,Administers all of the programs of the San Francisco Public Library. Offers library services and resources in the Tenderloin area,10597862,,,,,,,,,,Luis Herrera,City Librarian,citylibrarian@sfpl.org,415-557-4236,,Randall Weaver,Program Director,rweaver@sfpl.org,415-557-4390,,,,,,,,Government - City,Grants; City; County; State;,No,No,Building entrance accessible; Restroom accessible; All floors accessible;,,"MUNI - 5 Fulton, 19 Polk, 31 Balboa, Market Street lines. BART - Civic Center Station",,,,,,,,,,,,,,,,,,1/7/87,8/13/12,,,,,6/11/12,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,17134,Public Libraries
10595752,SAN FRANCISCO PUBLIC LIBRARY BAYVIEW BRANCH,,,Agency,SAN FRANCISCO PUBLIC LIBRARY BAYVIEW BRANCH,0,,Agency11529,,,,,,,United States,,1601 Lane Street,,San Francisco,San Francisco,CA,941242732,United States,,,,,,,,,37.733639,-122.390267,,415-355-5757,Main,,,,,,,,,,,,,,,,,,,,,,,,415-671-0736,,,,,,,,,,,,,,,,,,,,,baymgr@sfpl.org,www.sfpl.org,Active,City and County,Provides general library services and resources in the Bayview area,10595752,,,,,,,,,,Linda Brooks-Burton,lbrooksburton@sfpl.org,,,,,,,,,,,,,,,Government - City,County; State; Grants; City;,No,No,Building entrance accessible; Restroom accessible;,,"Muni- 23 Monterrey, 24 Divisadero, 44 O'shaughnessy, 54 Felton, 91 Owl",,,,,,,,,,,,,,,,,,10/6/10,6/12/12,,,,,11/18/10,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,17142,Ethnic Collections
10595754,SAN FRANCISCO PUBLIC LIBRARY BERNAL HEIGHTS BRANCH,,,Agency,SAN FRANCISCO PUBLIC LIBRARY BERNAL HEIGHTS BRANCH,0,,Agency11531,,,,,,,United States,,500 Cortland Avenue,,San Francisco,San Francisco,CA,94110,United States,,,,,,,,,37.748423,-122.413671,,415-355-2810,Main,,,,,,,,,,,,,,,,,,,,,,,,415-642-9951,,,,,,,,,,,,,,,,,,,,,bhemgr@sfpl.org,www.sfpl.org,Active,City and County,Provides general library services and resources in Bernal Heights,10595754,,,,,,,,,,Lisa Dunseth,Branch Manager,ldunseth@sfpl.org,,,,,,,,,,,,,,Government - City,City; County; State; Grants;,No,No,Building entrance accessible; Restroom accessible;,,"MUNI- 24 Divisadero, 67 Bernal Heights",,,,,,,,,,,,,,,,,,10/6/10,12/29/10,,,,,11/19/10,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,17151,Older Adults
10595756,SAN FRANCISCO PUBLIC LIBRARY CHINATOWN BRANCH,,,Agency,SAN FRANCISCO PUBLIC LIBRARY CHINATOWN BRANCH,0,,Agency11533,,,,,,,United States,,1135 Powell Street,,San Francisco,San Francisco,CA,94108,United States,,,,,,,,,37.79203,-122.406849,,415-355-2888,Main,,,,,,,,,,,,,,,,,,,,,,,,415-274-0277,,,,,,,,,,,,,,,,,,,,,chimgr@sfpl.org,www.sfpl.org,Active,City and County,Provides general library services and resources in Chinatown,10595756,,,,,,,,,,Lorna Chee,Adult Services Manager,lchee@sfpl.org,,,Aileen Kuo,Children's Services Manager,chimgr@sfpl.org,415-355-2889,,,,,,,,Government - City,City; Grants; County; State;,No,No,Building entrance accessible; Restroom accessible;,,"Muni: 1 California, 10 Townsend, 12 Folsom, 30 Stockton, 45 Union-Stockton",,,,,,,,,,,,,,,,,,10/6/10,12/7/12,,,,,5/25/12,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,17163,Families
10595758,SAN FRANCISCO PUBLIC LIBRARY EUREKA VALLEY BRANCH,,,Agency,SAN FRANCISCO PUBLIC LIBRARY EUREKA VALLEY BRANCH,0,,Agency11535,,,,,,,United States,,1 Jose Sarria Court,,San Francisco,San Francisco,CA,94114,United States,,,,,,,,,37.758232,-122.436161,,415-355-5616,Main,,,,,,,,,,,,,,,,,,,,,,,,415-552-2584,,,,,,,,,,,,,,,,,,,,,evamgr@sfpl.org,www.sfpl.org,Active,City and County,Provides general library services and resources in Eureka Valley,10595758,,,,,,,,,,Dominic Scappaticci,Branch Manager,dscappaticci@sfpl.org,,,,,,,,,,,,,,Government - City,City; County; State; Grants;,No,No,Restroom accessible; Building entrance accessible;,,"Muni- K Ingleside/3rd, J Church, M Ocean View, L Taraval, F Market, 22 Fillmore, 24 Divisadero, 33 Stanyan, 35 Eureka, 37 Corbett",,,,,,,,,,,,,,,,,,10/6/10,12/29/10,,,,,12/13/10,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,17171,Gay/Lesbian/Bisexual/Transgender Issues
10595760,SAN FRANCISCO PUBLIC LIBRARY EXCELSIOR BRANCH,,,Agency,SAN FRANCISCO PUBLIC LIBRARY EXCELSIOR BRANCH,0,,Agency11537,,,,,,,United States,No,4400 Mission Street,,San Francisco,San Francisco,CA,94112,United States,No,,,,,CA,,United States,37.720114,-122.440383,,415-355-2868,Main,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,415-337-4738,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,excmgr@sfpl.org,www.sfpl.com,Active,City and County,Provides general library services and resources in the Excelsior area,10595760,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rebecca Alcala,Branch Manager,ralcala@sfpl.org,415-355-2834,No,,,,,,No,,None or unknown,,,,Government - City,State; County; City; Grants;,No,No,Building entrance accessible     Restroom accessible     Large type books,,"MUNI: 14 Mission, 44 O'Shaughnessy, 49 Van Ness-Mission, 52 Excelsior",,,,,,,,,,,,,,,,,,10/6/10,1/18/13,,,,FALSE,5/7/13,Rebecca Alcala,Branch Library Manager,415-355-2834,ralcala@sfpl.org,Kate Goyette,,,,0,,,en,,,,,,,,,,17181,Parents of Infants/Toddlers
10595762,SAN FRANCISCO PUBLIC LIBRARY GLEN PARK BRANCH,,,Agency,SAN FRANCISCO PUBLIC LIBRARY GLEN PARK BRANCH,0,,Agency11541,,,,,,,United States,,2825 Diamond Street,,San Francisco,San Francisco,CA,94131,United States,,,,,,,,,37.743821,-122.440008,,415-355-2858,Main,,,,,,,,,,,,,,,,,,,,,,,,415-587-8425,,,,,,,,,,,,,,,,,,,,,gpamgr@sfpl.org,www.sfpl.org,Active,City and County,Provides general library services and resources in the Glen Park area,10595762,,,,,,,,,,Denise Sanderson,dsanderson@sfpl.org,,,,,,,,,,,,,,,Government - City,City; County; State; Grants;,No,No,Building entrance accessible; Restroom accessible;,,"BART-Glen Park; MUNI- 23 Monterrey, 36 Teresita, 44 O'shaugnessy, 52 Excelsior",,,,,,,,,,,,,,,,,,10/6/10,12/30/10,,,,,12/13/10,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,17192,Hispanic/Latino Community
