"Organization Name", "Address", "Phone", "Fax", "Email", "Website", "Contact", "Age Groups", "Languages Spoken", "Fees", "Service Hours", "Services Provided"
"Breast Cancer Action", "55 New Montgomery, Suite 323, San Francisco, CA 94105",  "(415) 243-9301, Toll free: 1 (877) 2STOPPBC(278-6722)","(415) 243-3996","info@bcaction.org","www.bcaction.org, www.thinkbeforeyoupink.org","Karuna Jaggar, Executive Director","All ages","English, but Spanish will be available soon","None","Monday ­ Friday, 9:00am - 5:00pm","Breast Cancer Action is a policy group that lobbies Congress to spend more on breast cancer treatment for low-income women. Breast Cancer Action also researches the causes of breast cancer, ensures that women with breast cancer have a role in making decision about breast cancer policy, and publishes both Spanish ("Saber es Poder") and English ("The Source") newsletters. Breast Cancer Action offers education and advocacy about breast cancer, pushing for true prevention through the understanding and elimination of the environmental causes of breast cancer."
"Bridges from School to Work", "785 Market Street, Suite 700, San Francisco, CA 94103",  "(415) 227-4330, TTY: (415) 227-4526","(415) 227-4527","anthea.charles@marriott.com","http://www.bridgestowork.org/","Anthea Charles, Director","16-24 years old","English, Spanish","None","Monday ­ Friday, 9:00am - 5:00pm","Bridges from School to Work assists high school seniors in the San Francisco Unified School District to obtain part time employment for pay. To qualify, youth must be 16-24 years old, and enrolled in a San Francisco high school special education program. Women-specific services include a mentorship program."
"CalFresh Program", "The San Francisco Department of Human Services Office",  "(415) 558-1001, 1 (877) 366-3076, (916) 654-1896","","piar@dss.ca.gov","www.calfresh.ca.gov/","","All","Spanish, Chinese, English, Vietnamese, Tagalog, and others","None","Monday - Friday, 8:00am - 5:00pm, closed 12:00pm - 1:00pm for lunch","The CalFresh Program, known as Food Stamps and the Supplemental Nutrition Assistance Program (SNAP), adds to individuals' food budgets, in order to put healthy and nutritious food on the table. The Program issues monthly electronic benefits that can be used to buy most foods at many markets and food stores. The Program helps to improve the health and well-being of qualified households and individuals by providing them a means to meet their nutritional needs."
"CalFresh Program", "1235 Mission Street, San Francisco, CA 94103",  "(415) 558-1001, 1 (877) 366-3076, (916) 654-1896","","piar@dss.ca.gov","www.calfresh.ca.gov/","","All","Spanish, Chinese, English, Vietnamese, Tagalog, and others","None","Monday - Friday, 8:00am - 5:00pm, closed 12:00pm - 1:00pm for lunch","The CalFresh Program, known as Food Stamps and the Supplemental Nutrition Assistance Program (SNAP), adds to individuals' food budgets, in order to put healthy and nutritious food on the table. The Program issues monthly electronic benefits that can be used to buy most foods at many markets and food stores. The Program helps to improve the health and well-being of qualified households and individuals by providing them a means to meet their nutritional needs."
"California Child Care Resource and Referral Network", "111 New Montgomery Street, 7th Floor, San Francisco, CA 94105",  "(415) 882-0234","(415) 882-6233","info@rrnetwork.org","www.rrnetwork.org","Linda Asato Executive Director","All ages for those needing child care services for 0 ­ 8 year olds.","English, Spanish","None","Monday ­ Friday, 9:00am - 5:00pm","California Child Care Resource and Referral Network provides referrals to other organizations that offer child care services. They do not themselves provide direct child care services. The Network monitors the status of California's child care services at local and county levels, in part through a trust-line which checks the criminal records of child care providers. The Network also provides a directory of child care resources and referral agencies in California on their website."
"California Coalition for Women Prisoners (formerly known as Free Battered Women)", "1540 Market Street, Suite 490, San Francisco, CA 94102",  "(415) 255-7036, ext. 4","(415) 552-3150","info@womenprisoners.org","womenprisoners.org","Deirdre Wilson, Program Coordinator","18 years old and older","English, Spanish","None","Call for information","CCWP seeks to end the revictimization of incarcerated survivors of domestic violence as part of the movement for racial justice and the struggle to resist all forms of intimate partner violence against women and transgender people. CCWP services include community organizing, parole advocacy, public education, media campaigns, policy work, and publishing a newsletter. For more information, please visit their website at womenprisoners.org."
"California State Employment Development Department and Career Link Center", "801 Turk Street, San Francisco, CA 94110",  "(415) 749-7503","(415) 749-7476","","www.edd.ca.gov","","To access EDD's services, individuals must be legally entitled to work in the US. EDD is a government agency that works in collaboration with the Department of Social Services, City College, the Private Industry Council and Department of Rehabilitation.","American Sign Language, Cantonese, English, French, Mandarin, Spanish, Tagalog, Vietnamese","None","Monday - Friday, 9:00am - 5:00pm","EDD Career Link offers employment services, including interview preparation, job-listings, resume workshops, career counseling, and information on how to receive and pay for training. Other EDD programs include Job Service, which provides a variety of employment related services such as referrals and placement. The Unemployment Insurance Office and State Disability Claims Office provides support services regarding filing insurance claims via telephone, including field visits. Other Locations Include: 601 Jackson Street, San Francisco, CA 94133, (415) 677-7500 73 Leland Avenue, San Francisco, CA 94134, (415) 239-8705 1500 Mission Street, San Francisco, CA 94102, (415) 575-4570 3120 Mission Street , San Francisco, CA 94110, (415) 401-4800 1449 Webster Avenue, San Francisco, CA 94115, (415) 655-2620 1850 Mission Street (Arriba Juntos), San Francisco, CA 94103, (415) 487-3240"
"California Youth Connection", "604 Mission Street, 9th Floor, San Francisco, CA 94105",  "(415) 442-5060, ext. 17","(415) 442-0720","info@calyouthconn.org","www.calyouthconn.org","","Youth","English","None","Monday- Friday, 9:00am - 5:00pm","The California Youth Connection (CYC) is guided, focused, and driven by current and former foster youth, with the assistance of other committed community members. CYC promotes the participation of foster youth in policy development and legislative change to improve the foster care system, and strives to improve social work practice and child welfare policy. CYC Chapters in counties throughout the state identify local issues and use community organizations to create change."
"California Youth Crisis Line", "",  "(800) 843-5200","","info@calyouth.org","www.youthcrisisline.org","Heather Dearing, Executive Director, heather@calyouth.org","","","None","24/7","CYCL provides youth and their families 24/7 confidential resources that empowers youth seeking solutions, provides referrals to more than 5,500 programs statewide, and simply offers someone to talk to. CYCL seeks to create and affect public policy and administrative programs by meeting regularly with policymakers so that youth and their families can develop and live in environments that ensure their empowerment. CYCL develops education tools in a variety of formats to inform and empower youth, as well as individuals who impact the lives of youth."
"Catholic Charities CYO (CCCYO)", "180 Howard Street, Suite 100, San Francisco, CA 94105",  "(415) 972-1200","(415) 972-1201","moreinfo@cccyo.org","www.cccyo.org","Melissa Portal","All ages","English, Spanish, and special accommodations are available including Tagalog, Chinese, Russian","Sliding scale","Monday ­ Friday, 9:00am - 5:00pm","CCCYO operates more than 30 programs and services in four counties. Their mission is to serve, support, strengthen and stabilize families. They serve families by providing emergency shelter, rental assistance, counseling and case management. They support families through child-focused programs that bring youth together to take part in organized athletic programs, summer camp, safe out-of-school care and environmental education. They strengthen families through aging programs that promote alternative solutions to permanent placement in residential facilities, and provide respite to caregivers. They stabilize families through HIV/AIDS housing and support programs that serve as key links in the HIV continuum of care."
"Center for Gender and Refugee Studies", "200 McAllister Street, San Francisco, CA 94102",  "(415) 565-4877","(415) 581-8824","cgrs@uchastings.edu, frydmanl@uchastings.edu","http://cgrs.uchastings.edu/","Lisa Frydman","18 and older","English, Spanish","None","Monday - Friday, 9:00am - 5:00pm","CGRS seeks to protect the basic human rights of refugee women and girls by advancing gender-sensitive asylum laws, helping advocates successfully represent women in need of protection, and preventing these refugees from being forcibly returned to the countries from which they have fled."
"Center for Research and Education on Gender and Sexuality (CREGS)", "835 Market Street, Suite 517, San Francisco, CA 94103",  "(415) 817-4512","(415) 817-4540","cregs@sfsu.edu","www/cregs.sfsu.edu","Colleen Hoff, Director; Robin Darling, Operations Manager","All ages","English","Sliding scale","Monday ­ Friday, 9:30am - 5:30pm","CREGS produce and disseminate knowledge and resources that address the impact of gender on health and well-being, promote healthy sexuality, and reduce sexual and reproductive health disparities. Their research program conducts rigorous, innovative studies with diverse populations, link findings to practice, and evaluate the impact of evidence-based interventions; Their education program offers advanced educational opportunities for undergraduate and graduate- level students, and work to implement evidence-based curricula; Their training program provides cutting-edge, continuing education and professional development programs for educators, healthcare providers, and paraprofessionals; Their policy work links research to best practices and disseminates findings to policymakers to promote healthy sexuality."
"Center for Young Women's Development", "832 Folsom Street, Suite 700, San Francisco, CA 94107",  "(415) 703-8800","(415) 703-8818","marlene@cywd.org","www.cywd.org","","16 ­ 24 years old","English, Spanish","None","Office Hours: Monday - Friday, 9:00am - 5:00pm","CYWD encourages young women to move beyond survival and become leaders and advocates for incarcerated and formerly incarcerated young women. CYWD programs offer young women a way out of repeated incarceration and into self-sufficiency, wholeness, and advocacy. A large component of the work is self-care and healing. All CYWD programs promote wellness and healthier living. Programs offered include Sister's Rising, an internship that combines skill development with a wellness and and empowerment curriculum. Each year Sisters Rising hires 17 young women for a paid internship that incorporates healing, skills development, political education, community organizing and reintegration. The Girls Detention Advocacy Program (GDAP) supports incarcerated and previously incarcerated young women in developing the skills and coping mechanisms they need to successfully reenter the community. GDAP offers weekly educational workshops in San Francisco's Juvenile Hall and weekly post-release support groups to young women and girls leaving the system."
"Center on Juvenile and Criminal Justice", "440 9th Street, San Francisco, CA 94103",  "(415) 621-5661","(415) 621-5466","kimo@cjcj.org","www.cjcj.org","Kimo Uila, Director","6 ­ 17 years old","Cantonese, English, Spanish","None","Monday ­ Friday, 10:00am - 6:00pm","The Detention Diversion Advocacy Project (DDAP) provides intensive case management services and court ordered supervision to high-risk youth within the criminal justice system. A minimum of three face-to- face home visits per week are made with each youth and their families. Referrals are made to appropriate services for anger management, violence prevention, counseling and employment training programs, court advocacy, and 24/7 crisis intervention."
"Central American Resource Center (CARECEN)", "3101 Mission Street, San Francisco, CA 94110",  "(415) 642-4400","(415) 824-2806","info@carecensf.org","www.carecensf.org","Anna Perez","All ages","English, Spanish","Low cost donation requested for some services","Monday ­ Friday, 9:00 am - 5:00 pm; Free Health Clinic: Saturday, all day.","The Central American Resource Center offers the following: Immigration services- including legal assistance, political asylum, citizenship assistance, and work permit renewal. Health services- including a free, comprehensive primary healthcare clinic on Saturdays, and an after-school obesity and diabetes prevention program. Dental Clinic- Dental Services are offered at 1245 Alabama in San Francisco. Family Services and Empowerment- including case management, information and referral, workshops related to the school system, workshops to support the transition to kindergarten, ESL, and driving classes. Second Chance Tattoo Removal- laser treatment to remove tattoos."
"Central City Hospitality House Tenderloin Self-Help Center", "290 Turk Street, San Francisco, CA 94102",  "(415) 749-2100, Front Desk: (415) 749-2143","(415) 749-2136","info@hospitalityhouse.org","www.hospitalityhouse.org/tenderloin.htm","Elvis Byrd, Program Manager","18 years old and older","English, Spanish, Cantonese","None","Monday ­ Friday, 7:00am - 7:00pm (Closed Mondays from 10:00am - 1:15pm for weekly staff meetings); Women's Support Group: Thursday, 1pm - 2 pm; Latino Group: 1pm - 2pm; Grocery Distribution: Wednesday at 2:30pm","The Tenderloin Self-Help Center offers homeless and low-income adults case management, substance abuse counseling, health education, employment counseling, computer training, support groups, recreational activities, and housing assistance."
"Central City Older Adult", "90 Van Ness Avenue, San Francisco, CA 94102",  "(415) 558-5900","(415) 558-5959","kim.schen@sfdph.org","","Kim Schoen, RPN, MS, CNS","60 years old and older","English, Spanish, Tagalog, Cantonese, Mandarin, Italian","Call for information","Monday - Friday, 8:30am - 5:00pm","The Central City Older Adult Clinic provides mental health services to clients residing in the Civic Center, South of Market, and Tenderloin areas of the city. The clinic also serves a large homeless population. Services include medication management, crisis intervention, dual diagnosis treatment, group therapy, case management and consultation services."
"Centro Latino de San Francisco Los Mayores de Centro Latino", "1656 15th Street, San Francisco, CA 94103",  "(415) 861-8758","(415) 861-8782","bgclsf@hotmail.com","http://centrolatinodsf.org","Gloria Bonilla","60 years old and older; all ages for citizenship","English, Spanish","Individuals over 60: $2.00 donation for lunch; under 60: $4.00 donation for lunch","Monday ­ Friday, 9:00am - 4:00pm","Centro Latino de San Francisco Los Mayores de Centro Latino provides meals for low-income residents, elderly, and terminally ill in the Mission District and other targeted communities; ESL courses, citizenship classes, and naturalization preparation; health and nutrition screenings for homebound seniors and uninsured families; recreational and education presentations; bilingual and culturally competent case management; transportation assistance on a group or individual basis; emergency housing and financial assistance; and assistance in obtaining government subsidized housing, food stamps, social security, and Medi-Cal."
"Child and Adolescent Support Advocacy And Resource Center (CASARC)", "995 Potrero Avenue, Bldg. 80, Room 239, San Francisco, CA 94110",  "(415) 206-8386","(415) 206-6273","","www.casarc.org","Alicia Boccellari, Ph.D., Director","0 ­ 18 years old","Japanese, English, Spanish","Sliding scale, accept Medi-Cal and Victim Witness","Monday - Friday, 8:00am - 5:00pm; Forensic Interviews: 24/7","CASARC serves children and adolescents who have been sexually or physically abused, or who have witnessed severe violence. Forensic medical and crisis management services are available 24/7. CASARC provides trauma-focused psychotherapy for individuals, groups and families. CASARC also provides educational trainings for community providers, including teachers, students, health care providers, and mental health professionals. CASARC also offers forensic interviews, including multidisciplinary interviews (MDI) and screening interviews; forensic medical exams/evidence collection for sexual abuse or assault; mental health services and psychiatry services, including medication; crisis intervention and critical incident debriefing; consultation; fact and expert testimony; community outreach and education; and professional collaborations, including program development and evaluation."
"Child Care Law Center", "445 Church Street, San Francisco, CA 94114",  "(415) 558-8005: Monday & Thursday, 12pm - 3pm, for anyone with a legal question, or a question about laws relating to child care","(415) 394-7140","info@childcarelaw.org","www.childcarelaw.org","Katherine Leathers, Program Assistant","All ages","English, Spanish, Mandarin on site Special accommodations for Arabic, Vietnamese, Korean, Japanese, Cantonese, and Tagalog, along with other languages can be made using Language Line.","None","Monday ­ Friday, 9:00am - 5:00pm","Child Care Law Center supports the retention and expansion of quality licensed family child care in San Francisco by developing the professional capacity of providers. The Center provides technical assistance and training to families with children with disabilities, child care providers and family support agencies on topics relating to the Americans with Disabilities Act (ADA), the Individuals with Disabilities Education Act (IDEA), and the Civil Rights Act. Legal Services relating to child care are also available both on-site and via Referral line."
"Children's Council of San Francisco", "445 Church Street, San Francisco, CA 94124",  "(415) 276-2900, Resources & Referrals: (415) 343-3300","(415) 392-2399","rr@childrenscouncil.org","www.childrenscouncil.org","Sandee Blechman, Executive Director","All ages","Chinese, English, Russian, Spanish, Vietnamese","None","Monday ­ Friday, 8:30am - 5:00pm","Children's Council of San Francisco works to improve the well-being of children, parents, families, and child care providers. The Council offers the following services: free, multilingual resources and referrals for San Francisco families seeking child care; payment assistance for child care for working low-income families; training and professional support to child care providers; nutritional services and food subsidies to providers who care for children from low-income families; child mental health and development consultation to child care centers and family child care homes; child care support to families of children with special needs; and child care support to families that are homeless, in transition or crisis, or whose children are in foster care."
"Children's Council of San Francisco", "1319 Evans Ave., 2nd Floor, San Francisco, CA 94114",  "(415) 276-2900, Resources & Referrals: (415) 343-3300","(415) 392-2399","rr@childrenscouncil.org","www.childrenscouncil.org","Sandee Blechman, Executive Director","All ages","Chinese, English, Russian, Spanish, Vietnamese","None","Monday ­ Friday, 8:30am - 5:00pm","Children's Council of San Francisco works to improve the well-being of children, parents, families, and child care providers. The Council offers the following services: free, multilingual resources and referrals for San Francisco families seeking child care; payment assistance for child care for working low-income families; training and professional support to child care providers; nutritional services and food subsidies to providers who care for children from low-income families; child mental health and development consultation to child care centers and family child care homes; child care support to families of children with special needs; and child care support to families that are homeless, in transition or crisis, or whose children are in foster care."
"Children's System of Care", "1305 Evans Avenue, San Francisco, CA 94124",  "(415) 920-7700","(415) 920-7729","","http://sanfrancisco.networkofcare.org/veterans/resource/agencydetail. cfm?pid=ChildrensSystemofCareCSOC_871_17_0","Bonnie Friedman, Program Director","Youth, 11 to 17.6 years old","English, Spanish","None","Monday - Friday, 8:30am - 5:00pm","Children's System of Care (CSOC) provides intensive care management services to children, youth and families involved in multiple service systems (mental health, juvenile justice, child welfare and special education) who are at-risk for out of home placement. CSOC care managers apply the System of Care principals (family driven and youth-guided care) to engage caregivers and parents as partners in service planning and delivery. CSOC care managers collaborate with system partners and community agencies to access and coordinate services. The goals of the agency are to keep children and youth at home, in school, and out of trouble."
"Chinatown Child Development Center", "720 Sacramento Street, San Francisco, CA 94108",  "(415) 392-4453 24/7","(415) 433-0953","","","","0-18 years olds and their families","Cantonese, Mandarin, Shanghaies, Toisanese, Cambodian, Spanish, Vietnamese","Vary according to income. Medi-Cal and Healthy Family Insurance accepted","Monday ­ Friday, 8:30am - 5:00pm","The Chinatown Child Development Center (CCDC) is a mental health clinic for children and is under the umbrella of the SF Department of Public Health, Community Behavioral Health Services, Children, Youth and Family section. CCDC provides mental health services to children from birth to 18 years of age and their families within the Chinatown community. Mental health services include individual and group psychotherapy, psychological and medication evaluations, treatment groups for preschool-age and elementary-age children, mental health education and an infant development program. Parenting services include workshops, parent support groups and an early intervention program for parents and children. The Center also provides consultation services to community agencies regarding children's mental health and parenting issues."
"Chinatown Community Development Center", "1525 Grant Avenue, San Francisco, CA 94133",  "(415) 984-1450, TTY: (415) 984-9910","(415) 362-7992","info@chinatowncdc.org","www.chinatowncdc.org","Norman Fong, Executive Director","All ages","Cantonese, English, Mandarin","None","Monday ­ Friday, 9:00am - 5:00pm","Chinatown CDC is a community development organization with many roles, serving as neighborhood advocates, organizers, planners, and developers and managers of affordable housing. The agency offers a number of programs, housing counseling, advocacy and organizing, planning, housing development, property management, and tenant services. Their services and programs include housing counseling, a food pantry program, Adopt-an- Alleyway, Chinatown Alleyway Tours (CATS), Ping Yuen Residents Improvement Association (PYRIA), information and referrals, basic case management, resident empowerment, translation and paperwork assistance, educational activities, and social and recreational activities. Their other office is located at 663 Clay St., SF, CA 94108. Drop-In and Counseling Hours: Monday & Friday, 2:00pm - 4:00pm"
"Chinatown North Beach Mental Health Services", "729 Filbert Street, San Francisco, CA 94133",  "(415) 352-2000","(415) 352-2050","","","Office Staff-On Duty","14 years old and older","Chinese, Vietnamese, Thai, Italian, Laos, Cambodian","Sliding scale, accepts Medicare","Monday ­ Friday, 8:30am - 5:00pm; Drop-in (Monday - Friday), 9:00am - 11:00am & 1:00pm - 3:00pm","Chinatown North Beach Mental Health Services offers a variety of mental health services, including psychiatric evaluation, individual therapy and counseling, family intervention, crisis intervention, urgent care, acupuncture treatment for psychiatric disorders, group activities and therapy, case management, consultation, education and information activities, medication, and adult/geriatric socialization. Referrals to other city-funded programs are provided if the treament is not provided on-site. Services are also provided at Galileo High School."
"Chinese for Affirmative Action", "17 Walter U. Lum Place, San Francisco, CA 94108",  "(415) 274-6750","(415) 397-8770","info@caasf.org","www.caasf.org","John Fong","All ages","Chinese, English","None","Monday ­ Friday, 9:00am - 5:00pm","Chinese for Affirmative Action (CAA) advocates for equal access to employment opportunities for Asian Americans. CAA offers recruitment and preparation programs for women seeking employment in construction, public safety, and law enforcement. CAA offers job placement and counseling for racial harassment, discrimination in the workplace, police brutality, and other employment issues."
"Chinese Newcomers Service Center", "777 Stockton Street, No. 104, San Francisco, CA 94108",  "(415) 421-2111","(415) 421-2323","cnsc@chinesenewcomers.org","www.chinesenewcomers.org","Carlos Serrano-Quan, M.S.W., Executive Director","All ages","Cantonese, English, Mandarin,","Sliding scale","Monday - Thursday, 9:00am - 12:00pm and 1:00pm - 5:00pm","The Chinese Newcomers Service Center (CNSC) provides multilingual services that help Chinese immigrants adapt to life in the United States. CNSC serves as a bridge between the two cultures, enhancing the physical, mental, social and economic well-being of immigrants, thus facilitating their efforts to become self-sufficient and contributing members of the community. CNSC offers bilingual multicultural services, immigration services, citizenship services, job preparation workshops, employment referrals, financial literacy and tax counseling, small business lectures, and income tax assistance. The CNSC also provides classes on computer literacy, citizenship and ESL and free food distribution."
"City College of San Francisco", "50 Phelan Avenue, San Francisco, CA 94112",  "(415) 239-3000, TDD: (415) 452-5451","(415) 239-3735","register@ccsf.edu","www.ccsf.edu","Jorge Bell, Vice Chancellor of Student Development","All ages","English, others vary according to the program","Sliding scale","Call for information","City College offers a wide variety of educational and vocational training opportunities at several locations throughout the city. Financial aid is available for those who qualify. Programs offered include GED assistance, tutoring, literacy classes, special education for disabled students, ESL, employment assistance, citizenship classes, computer training, mental health and peer counseling, and study skills classes. For more information on the Disabled Students Programs and Services, please contact Muriel Parenteau, DSPS Department Coordinator at (415) 452-5485 or visit their website at www.ccsf.edu/dsps."
"CityTeam International", "164 6th Street, San Francisco, CA 94103",  "(415) 861-8688","(415) 861-8687","sanfrancisco@cityteam.org","www.cityteam.org","","All","English","None","Monday - Friday, 9:00am - 4:00pm","CityTeam International is a nonprofit organization serving the poor and homeless in San Jose, San Francisco, Oakland, Portland, Philadelphia and partnerships in 42 other countries around the world. Programs and services include rescue missions, men's recovery programs, youth and family outreach, women's programs, and church planting."
"Clinic by the Bay", "4877 Mission Street, San Francisco, CA 94112",  "(415) 405-0222","(415) 405-0223","info@clinicbythebay.org","clinicbythebay.org","","All","Spanish, Cantonese, Limited Mandarin, English","None","Call for more information.","Clinic by the Bay is a private, nonprofit medical clinic that provides free health care for working, uninsured adults residing in the Excelsior neighborhood (94112), Visitacion Valley/Portola (94134), and Daly City (94014, 94015). The Clinic's mission is to understand and serve, with dignity and respect, the health and wellness needs of the medically underserved in the San Francisco Bay Area. The Clinic offers meaningful opportunities for volunteerism and civic engagement in order to provide a caring medical home to the working uninsured. The "Culture of Caring" is the heart and soul of the Clinic. They believe in the inherent worthiness and dignity of each person and are committed to kindness, respect and patience in all of their interactions."
"Coleman Advocates for Children and Youth", "459 Vienna Street, San Francisco, CA 94112",  "(415) 239-0161","(415) 239-0584","info@colemanadvocates.org, kramirez@colemanadvocates.org","www.colemanadvocates.org","Karen Ramirez, Office Manager","Works with teens (all ages) and parents with children in SFUSD","English, Spanish, and Thai","Call for information","Monday ­ Friday, 9:00am - 5:00pm","Coleman Advocates is a member-led, multiracial community organization working to make San Francisco a city of hope, justice and opportunity for children and families. Parents Making a Change (PMAC) and Youth Making a Change (YMAC) organize parents and San Francisco public high school students to facilitate change in their schools, their lives and their communities."
"Community Awareness & Treatment Services, Inc.", "1171 Mission Street, 2nd Floor, San Francisco, CA 94103",  "(415) 241-1181, (415) 241-1199","(415) 241-1176","admin@catsinc.org","http://www.catsinc.org","Janet Goy, Executive Director","18 years old and older","English","Call for information","Office Hours: Monday - Friday, 8:00am - 4:00pm","CATS provides a continuum of care for people with drug and alcohol abuse problems. Services focus on helping the homeless by promoting positive, lasting change and reducing street deaths. CATS focuses on the "hardest to serve" homeless, those multiply-diagnosed with chronic addiction, mental illness, physical disabilities, HIV/AIDS, hepatitis c, tuberculosis, and other health problems. CATS also serves veterans, survivors of domestic violence, sex workers/prostitutes, and transgender individuals. CATS is a network of programs designed to work together to meet every stage of need: Outreach- Proactively seeks out the hardest-to- serve homeless; Transportation- Ensures access to essential services; Drop-In Centers- Address basic needs and establish links to more comprehensive treatment; Shelter- Offers a warm bed and nutritious meal; Transitional Housing- Dormitory-style living that prepares individuals for independent, permanent housing; Substance Abuse Programs- Administers intensive treatment to addresses the complex problems of substance abuse; Permanent Housing- Provides a supportive environment with ongoing services that helps those with multiple problems remain housed and stable."
"Community Behavior Health Services, Behavioral Health Access Center (BHAC)", "1380 Howard Street, 1st Floor, San Francisco, CA 94103",  "(415) 255-3633, TAP: (888) 246-3333, ACCESS: (800) 750-2727","(415) 255-3629","","","Steve Benoit (ACCESS): (415) 255-3737; Phil Castiglione (TAP): (415) 503-4730","18 years old and older","English","None","Call for Information","Through the Treatment Access Program (TAP) and Mental Health Access (Access), BHAC provides evaluations, referrals, and brief treatment services to San Francisco residents seeking mental health and/or substance abuse treatment services. BHAC provides a centralized, integrated and welcoming venue for accessing services. Consumers of these services, known as system navigators, provide information and help patients get to where they need to go."
"Community Focus (UCSF)", "982 Mission Street, San Francisco, CA 94103",  "(415) 597-8065","(415) 597-8004","david.fariello@ucsf.edu","www.cw-cf.org","David Fariello, LCSW","18 years old and older","Cantonese, English, Mandarin, Spanish, Taiwanese, Russian, Tagalog, and Vietnamese","Call for information","Monday- Friday, 8:30am - 4:45pm","Community Focus is an intensive and assertive case management program, with an emphasis on psychosocial rehabilitation, that serves as the single point of responsibility for clients, their families, support systems, and service providers. Community Focus consists of teams that focus on distinct groups. Adelante focuses on Asian/Pacific Islanders and Latino clients, offering culturally and linguistically competent services. The Kujichagulia Project, the longest established Community Focus team, provides services specific to African-American patients. Clients may participate in recreational and artistic activities and attend spiritual support groups. There is an emphasis on supportive and independent housing. Some clients may earn stipends through the program in job training positions. Community Focus has a wide range of clinicians including psychiatrists, social workers, psychiatry residents, nurses, psychiatric technicians, peer counselors, and administrators."
"Community Housing Partnership", "280 Turk Street, San Francisco, CA 94102",  "(415) 929-2470","(415) 749-2791","","www.chp-sf.org","Gale Gilman, Executive Director","All homeless and eligible applicants","English, Spanish","Sliding scale (rent is 30% of income)","Administrative: Monday ­ Friday, 9:00am - 5:00pm; On-site Property Management: 24/7","Community Housing Partnership (CHP) provides permanent, affordable (subsidized) SRO and small family units to eligible applicants, as well as on-site support services that include: mental health and substance abuse counseling; employment and economic development opportunities for tenants, homeless people and staff; consultations, technical assistance, and advocacy for the development of supportive subsidized housing for very low-income and homeless persons. CHP offers various women-specific support groups and professional development opportunities."
"Community Justice Center: Violence Intervention Program", "555 Polk Street, San Francisco, CA 94102",  "(415) 202-2810, (415) 292-2565","(415) 346-0413","","http://www.sfsuperiorcourt.org/index.aspx?page=96","","18 years old and older","Cantonese, English, Spanish","Sliding scale; Medi-Cal, Medicare and private insurance with prior approval","Monday - Friday, 8:30am - 4:00pm","The Violence Intervention Program (VIP), formerly known as the Center for Special Problems, is a Department of Public Health program offered at the Community Justice Center. VIP offers adult outpatient mental health services to San Francisco residents coping with mental health issues related to violent impulses, trauma, gender identity or HIV/AIDS. Case coordination and direct treatment services are available for violent offenders, victims of trauma, gender dysphonic individuals, sex offenders, and those living with HIV/AIDS. Services include individual and group psychotherapy, peer support services, psychotropic medication and monitoring, and clinical case management. Individuals seeking services or a referring agency should call the Duty Officer at VIP available Monday - Friday from 9:30am - 11:30am and 2:00pm - 4:00pm to schedule an initial appointment."
"Community United Against Violence", "427 South Van Ness Avenue, San Francisco, CA 94103",  "(415) 777-5500, 24/7 Crisis Line: (415) 333-HELP","(415) 777-5565","info@cuav.org","www.cuav.org","Carolina Morales","15 years old and older","English, Spanish, with access to multi-lingual advocates","None","Monday ­ Friday, 10:00am - 6:00pm; Walk-in: Wednesday, 11:00am - 1:00pm","Community United Against Violence (CUAV) provides violence prevention and victim services to the lesbian, gay, bisexual, and transgender communities. CUAV serves victims of hate violence, domestic violence, and sexual assault. Services include short-term counseling and advocacy, systems advocacy, and community education and outreach to underserved communities, such as women, transgender people, and people of color. CUAV also provides safety services, a speakers bureau regarding education, and the HOP Program which gives support specific to the LGBT community."
"Community Vocational Enterprises, Inc.", "818 Mission Street, Suite 300, San Francisco, CA 94103",  "(415) 544-0424, TDD: (415) 615-0103","(415) 544-0351","ljones@cve.org","www.cve.org","Lorna Jones, CEO","16 years old and up","English, Spanish, Mandarin","Call for information","Monday - Friday, 8:30am - 5:00pm","CVE provides opportunities, training, and support to individuals with mental health disabilities, empowering then to fulfill their employment potential. The program offers assessment, skills training, work experience, social support, job development, and placement and retention services. The Transitional Business Programs provides on- the-job skills, on-site feedback, and employer references in their choice of janitorial, clerical or café businesses. Other programs include Youth Employment Services, serving 16 to 24 year olds, and Bilingual Employment Services and Training (BEST) for Spanish-speaking clients."
"Community Youth Center", "1038 Post Street, San Francisco, CA 94109",  "(415) 775-2636","(415) 775-1345","cyc@cycsf.org","www.cycsf.org","Project Managers: Vicky Chung and Lisa Lee","11 ­ 25 years old","Cantonese, English, Mandarin, Vietnamese, Toishanese","None","Monday ­ Friday, 9:00am - 6:00pm","CYC offers a range of programs and services to help youth succeed on every level, including youth employment programs, after-school tutoring and career/college planning support, a central intake system to provide referrals and case management services for high-risk youth and their families, street outreach services that respond to violent incidents, and violence prevention education programs. CYC also offers two programs specific to girls, the Young Asian Women Against Violence (YAWAV) and Sisters Against Violence Empowerment (SAVE) Program. Both are peer-based prevention programs that educate high school-aged girls about dating violence and sexual assault. CYC seeks to educate the wider API community about such topics."
