Agency Name,Program Name,Strategy,Lead Agency Address,Lead Agency District,Lead Agency Zip,Site Name,Site Address,Site Zip,Site Phone,Site District,Site Location,Site School,0-5,'6-13,14-17,Parent,18-21,22-25,18-24,English,Spanish,Mandarin,Cantonese,Korean,Vietnamese,Russian,Filipino (Tagalog),Language Other
Boys & Girls Clubs of San Francisco,Tenderloin Boys & Girls Club K-8 Afterschool Program,Comprehensive K-8 Community-Based Afterschool,115 Jones Street,District 6,94102,Tenderloin Boys & Girls Club,115 Jones Street,94102,415-351-3125,6,Public or affordable housing site,,,X,,,,,,X,X,X,X,,X,X,X,"German, Arabic"
Boys & Girls Clubs of San Francisco,Tenderloin Boys & Girls Club K-8 Summer Learning Program,Comprehensive K-8 Summer Learning,115 Jones Street,District 6,94102,Tenderloin Boys and Girls Club,115 Jones Street,94102,415-351-3125,6,Public or affordable housing site,,,X,,,,,,X,X,X,X,,X,X,X,"German, Arab"
Boys & Girls Clubs of San Francisco,Visitacion Valley Boys & Girls Club K-8 Afterschool Program,Comprehensive K-8 Community-Based Afterschool,251 Leland Avenue,District 10,94134,Visitacion Valley Boys & Girls Club,251 Leland Avenue,94134,415-239-2392,10,SF Recreation and Park facility,,,X,,,,,,X,X,X,X,,,,,
Boys & Girls Clubs of San Francisco,Visitacion Valley Boys & Girls Club K-8 Summer Learning Program,Comprehensive K-8 Summer Learning,251 Leland Ave,District 10,94134,Visitacion Valley Boys & Girls Club,251 Leland Ave,94134,415-239-2392,10,SF Recreation and Park facility,,,X,,,,,,X,X,X,X,,,,,
Boys & Girls Clubs of San Francisco,Willie Mays Boys & Girls Club K-8 Afterschool Program,Comprehensive K-8 Community-Based Afterschool,195 Kiska Road,District 10,94124,Willie Mays Boys & Girls Club at Hunters Point,195 Kiska Road,94124,415-655-5160,10,Public or affordable housing site,,,X,,,,,,X,X,X,X,,,,,
Boys & Girls Clubs of San Francisco,Willie Mays Boys & Girls Club K-8 Summer Learning Program,Comprehensive K-8 Summer Learning,195 Kiska Road,District 10,94124,Willie Mays Boys and Girls Club,195 Kiska Road,94124,415-643-6140,10,Public or affordable housing site,,,X,,,,,,X,X,X,X,,,,,
Brava! For Women in the Arts,Mission Academy of Performing Arts at Brava (MAPA@Brava),Specialized Teen,2781 24th Street,District 9,94110,Brava Theater Center,2781 24th Street,94110,415-641-7657,9,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,,,,,,
Brava! For Women in the Arts,Mission Academy of Performing Arts at Brava (MAPA@Brava),Specialized Teen,2781 24th Street,District 9,94110,Marsh Theater,1062 Valencia,94110,415-641-0235,8,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,,,,,,
Breakthrough San Francisco,Breakthrough 7th & 8th grade summer program,Comprehensive K-8 Summer Learning,350 Masonic Avenue,District 5,94118,San Francisco Day School,350 Masonic Ave,94118,(415) 568-361,5,Parochial or Independent School,,,X,,,,,,X,X,X,X,,X,,,"Amharic, Arabic, Hindi, Japanese, Mongolian, Portuguese, Samoan, Tigrina, Tongan, Uzbek"
"Buena Vista Child Care., Inc.",OST Scholarship Program,Comprehensive K-8 Before and Afterschool Scholarships,3351 23rd Street,District 9,94110,Buena Vista Horace Mann K-8,3351 23rd Street,94110,415-285-0221,9,Public School,Buena Vista/Horace Mann (K-8),X,X,,,,,,X,X,,,,,,,
California Academy of Sciences,Careers in Science Intern Program (CiS),Youth Workforce Development,55 Music Concourse Drive,District 1,94118,California Academy of Sciences,55 Music Concorse Drive,94118,415.379.5390,1,Non-profit's owned or leased space (not faith-based),,,,X,,X,,,X,X,X,X,,X,,,
California Lawyers for the Arts,Spotlight on the Arts Youth Employment Project,Youth Workforce Development,"2 Marina Blvd; Fort Mason Center, C-255",District 1,94123,California Lawyers for the Arts,"2 Marina Blvd, Fort Mason Center C-255, San Francisco",94123,4157757200,1,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
Catholic Charities CYO,Maureen & Craig Sullivan Youth Services (Afterschool Program),Comprehensive K-8 Community-Based Afterschool,180 Howard Street,District 6,94105,Maureen & Craig Sullivan Youth Center,801 Jessie Street,94103,415-863-1141,6,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,X,X,,,,X,None
Catholic Charities CYO,Maureen & Craig Sullivan Youth Services (Summer Program),Comprehensive K-8 Summer Learning,180 Howard Street,District 6,94105,Maureen & Craig Sullivan Youth Center,801 Jessie Street,94103,415.863.1141,6,Public or affordable housing site,,,X,,,,,,X,X,X,X,,,,X,None
Catholic Charities CYO,San Francisco Boys Girls' Home Shelter Services and Intensive Treatment/Family Reunification Program,Diversion,"180 Howard Street, Suite 100",District 6,94105,Euclid Girls' Program,823 Euclid Avenue,94118,415 221-6741,1,Faith-based organization's space,,,,X,,,,,X,,,,,,,,
Catholic Charities CYO,San Francisco Boys Girls' Home Shelter Services and Intensive Treatment/Family Reunification Program,Diversion,"180 Howard Street, Suite 100",District 6,94105,Shelter Boys' Program,750 33rd Avenue,94121,415 668-9543,1,Faith-based organization's space,,,,X,,,,,X,,,,,,,,
Center for Young Women's Development,Girls Detention Advocacy Project,Detention Based,"832 Folsom Street, Suite 700",District 6,94107,San Francisco Juvenile Justice Center,375 Woodside Avenue,94127,415-753-7800,11,,,,,X,,X,,,X,X,,,,,,,
Center for Young Women's Development,Girls Detention Advocacy Project,Detention Based,"832 Folsom Street, Suite 700",District 6,94107,San Francisco County Jail,850 Bryant,94103,415-553-9869,6,,,,,X,,X,,,X,X,,,,,,,
Center for Young Women's Development,Sisters on the Rise Initiative,Aftercare/ Reentry,832 Folsom Street,District 6,94107,Center for Young Women's Development,"832 Folsom Street, Suite 700",94107,415-703-8800,6,Non-profit's owned or leased space (not faith-based),,,,X,,X,X,,X,X,,,,,,,Tongan
Center on Juvenile and Criminal Justice,Detention Diversionion Advocacy Program,Detention Alternatives,40 Boardman Place,Unassigned,94103,Center on Juvenile and Criminal Justice,40 Boardman Place,94103,(415) 989-2278,6,Non-profit's owned or leased space (not faith-based),,,X,X,,X,,,X,,,X,,,,,Samoan
Center on Juvenile and Criminal Justice,Diversionion & Re-entry Mentoring Program,Diversion,40 Boardman Place,Unassigned,94103,Center on Juvenile and Criminal Justice,40 Boardman Place San Francisco Ca,94103,415-621-5661,6,Other,,,X,X,,X,,,X,X,X,X,,X,,,Samoan
Center on Juvenile and Criminal Justice,Juvenile Collaborative Aftercare/ Reentry Team (JCRT) â€“ Log Cabin,Aftercare/ Reentry,40 Boardman Place,Unassigned,94103,Center on Juvenile and Criminal Justice,40 Boardman Place,94103,(415) 989-2278,6,Non-profit's owned or leased space (not faith-based),,,,X,,X,,,X,X,X,X,,,,,Samoan
Center on Juvenile and Criminal Justice,Juvenile Collaborative Re-entry Unit (JCRU),Aftercare/ Reentry,40 Boardman Place,District 6,94103,Center on Juvenile and Criminal Justice,40 Boardman Place,94103,415-621-5661,6,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
Center on Juvenile and Criminal Justice,Probation Enhancement Program,Aftercare/ Reentry,40 Boardman Place,Unassigned,94103,Center on Juvenile and Criminal Justice,40 Boardman Place,94103,(415) 989-2278,6,Non-profit's owned or leased space (not faith-based),,,X,X,,X,,,X,X,X,X,,X,,,Samoan
Central American Resource Center,Second Chance Tattoo Removal Program (Case Management),Diversion,3101 Mission Street Ste. 101,Unassigned,94110,Second Chance Tattoo Removal Program,3101 Mission St Ste 101,94110,4156424400,9,Non-profit's owned or leased space (not faith-based),,X,X,X,X,X,X,,X,X,,,,,,,
Charity Cultural Services Center,Families in Transition Program (FIT),Specialized Teen,731 Commercial Street,District 3,94108,Galileo Academy of Science and Technology,"1150 Francisco St. San Francisco, CA.",94109,415-749-3430,2,Public School,Galileo High School (9-12),,,X,,,,,X,,X,X,,X,,,Taisenses
Charity Cultural Services Center,Families in Transition Program (FIT),Specialized Teen,731 Commercial Street,District 3,94108,Abraham Lincoln High School,"2162 24th Ave San Francisco,",94116,(415) 759-2700,4,Public School,"Lincoln, Abraham High School (9-12)",,,X,,,,,X,,X,X,,X,,,Taisenses
Chinatown Community Development Center,Campaign Academy,Youth Led Organizing,1525 Grant Avenue,District 3,94133,CCDC Campaign Academy,655 Clay Street,94111,415-984-1450,3,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,X,,,,,
Chinatown Community Development Center,CCDC Youth Leadership,Specialized Teen,1525 Grant Avenue,District 3,94133,CCDC Youth Leadership - AAA,655 Clay Street,94111,(415) 984-1477,3,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,X,,,,,
Chinatown Community Development Center,CCDC Youth Leadership,Specialized Teen,1525 Grant Avenue,District 3,94133,CCDC Youth Leadership - YSRO,663 Clay Street,94111,415-984-1918,3,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,X,,,,,
Chinese Progressive Association,Common Roots: Youth Organizing Program,Youth Led Organizing,1042 Grant Avenue,District 3,94133,Chinese Progressive Association,"1042 Grant Ave, 5th Floor",94133,415-391-6986,3,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,X,X,,,,,
Chinese Progressive Association,Common Roots: Youth Organizing Program,Youth Led Organizing,1042 Grant Avenue,District 3,94133,PODER,"474 Valencia St, Ste 125",94103,(415) 431-4210,9,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
City College of San Francisco,Bridge To Success,SFUSD Partnerships,50 Phelan Avenue,District 7,94112,City College of SF and SFUSD high schools,50 Phelan Ave.,94112,415-239-3848,7,Other,,,,,X,,,,X,X,X,X,,X,,X,
Collective Impact,Magic Zone After School (6th-8th) @ Ella Hill Hutch Community Center,Comprehensive K-8 Community-Based Afterschool,1050 Mcallister St,District 5,94115,Ella Hill Hutch,1050 Mcallister St,94115,415-567-0400,5,Other,,,X,X,,,,,X,X,,,,,,,
Collective Impact,Magic Zone After School Program (K-5th) @ Hayes Valley Clubhouse,Comprehensive K-8 Community-Based Afterschool,699 Hayes St,District 5,94102,Hayes Valley Playground,699 Hayes,94102,415.567.0400,5,SF Recreation and Park facility,,X,X,,,,,,X,X,,,,,,,
Collective Impact,Magic Zone Specialized Teen Program @ Ella Hill Hutch,Specialized Teen,1050 McAllister St,District 5,94115,Magic Zone,1050 McAllister,94102,415.567.0400,5,Other,,,X,X,,,,,X,X,,,,,,,
Collective Impact,Magic Zone Summer Program (6th-8th) @ Ella Hill Hutch,Comprehensive K-8 Summer Learning,1050 McAllister St,District 5,94115,Ella Hill Hutch,1050 McAllister St,94115,415-567-0400,5,Other,,,X,X,,,,,X,X,,,,,,,
Collective Impact,Magic Zone Summer Program @ Hayes Valley Clubhouse,Comprehensive K-8 Summer Learning,699 Hayes St,District 5,94102,Hayes Valley Playground,699 Hayes,94115,415.567.0400,5,SF Recreation and Park facility,,X,X,,,,,,X,X,,,,,,,
Collective Impact,SF Team in the Western Addition,SFTEAM_CONT,699 Hayes St,District 5,94102,Hayes Valley Clubhouse,699 Hayes Street,94102,415-771-7228,5,SF Recreation and Park facility,,X,X,,,,,,X,X,X,,,,,,
College Track,College Track San Francisco,Specialized Teen,4301 3rd Street,District 10,94124,College Track,4301 3rd Street,94124,415-206-9995,10,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,,,,,,
Community Initiatives,Mission and Excelsior Science Workshops,Specialized K-8,"c/o Mission High School, 3750 18th St",District 8,94114,Mission Science Workshop,"c/o Mission High School, 3750 18th St",94114,415-621-1240,8,Other,,,X,X,X,,,,X,X,,,,,,,
Community Initiatives,Mission and Excelsior Science Workshops,Specialized K-8,"c/o Mission High School, 3750 18th St",District 8,94114,Excelsior Science Workshop,35 San Juan Avenue,94112,415-594-9165,11,Faith-based organization's space,,,X,X,,,,,X,X,,,,,,,
Community Initiatives,Peer Resources,Specialized Teen,727 Golden Gate Avenue,District 5,94102,Galileo High School,1150 Francisco Street,94109,415-749-3430,2,Public School,Galileo High School (9-12),,,X,,,,,X,X,X,X,,,X,X,
Community Initiatives,Peer Resources,Specialized Teen,727 Golden Gate Avenue,District 5,94102,Lincoln High School,2162 24th Avenue,94116,415-759-2700,4,Public School,"Lincoln, Abraham High School (9-12)",,,X,,,,,X,X,X,X,,X,X,,
Community Initiatives,Peer Resources,Specialized Teen,727 Golden Gate Avenue,District 5,94102,Buena Vista Horace Mann K-8,3351 23rd Street,94110,415-695-5881,9,Other,,,X,X,,,,,X,X,,,,,,,
Community Initiatives,Peer Resources,Specialized Teen,727 Golden Gate Avenue,District 5,94102,Denman Middle School,241 Oneida Avenue,94112,415-469-4535,11,Public School,"Denman, James Middle School (6-8)",,X,X,,,,,X,X,,X,,,,X,
Community Initiatives,Peer Resources,Specialized Teen,727 Golden Gate Avenue,District 5,94102,Balboa High School,1000 Cayuga Avenue,94112,415-469-4090,11,Public School,Balboa High School (9-12),,,X,,,,,X,X,,X,,,,X,
Community Initiatives,Peer Resources,Specialized Teen,727 Golden Gate Avenue,District 5,94102,Mission High School,3750 18th Street,94114,415-241-6240,8,Public School,Mission High School (9-12),,,X,,,,,X,X,,X,,,,,
Community Works,Project WHAT!,Youth Led Organizing,4681 Telegraph Ave.,Unassigned,94609,Senior & Disability Action,1360 Mission Street #400,94110,415-546-1333,6,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,,,,,,,,
Community Works,ROOTS at Balboa High School,Specialized Teen,4681 Telegraph Ave.,Unassigned,94609,Balboa High School,1000 Cayuga Ave.,94112,(415) 469-4090,11,Public School,Balboa High School (9-12),,,X,,,,,X,X,,,,,,X,
Community Works,Women Rising/Rising Voices,Aftercare/ Reentry,4681 Telegraph Avenue,Unassigned,94609,Women's Resource Center,930 Bryant St.,94103,(415) 734-3150,6,Other,,,,,X,X,X,,X,X,,,,,,,
Community Works,Young Men's Aftercare/ Reentry Program,Aftercare/ Reentry,4681 Telegraph Ave.,Unassigned,94609,SFSD's Community Programs,70 Oak Grove,94107,(415) 575-6450,6,Other,,,,,X,X,X,,X,X,,,,,,,
Community Youth Center of San Francisco (CYC),API Youth School-based Outreach,Diversion,1038 Post Street,District 3,94109,CYC Main Office,1038 Post Street,94109,4157752636,3,Non-profit's owned or leased space (not faith-based),,,,X,,X,,,X,,,X,,X,,,
Community Youth Center of San Francisco (CYC),API Youth School-based Outreach,Diversion,1038 Post Street,District 3,94109,Galileo High School,1150 Francisco Street,94109,415-749-3430,3,Public School,Galileo High School (9-12),,,X,,,,,X,,,X,,X,,,
Community Youth Center of San Francisco (CYC),API Youth School-based Outreach,Diversion,1038 Post Street,District 3,94109,Downtown High School,693 Vermont Street,94107,(415) 695-5860,10,Public School,Downtown High School (9-12),,,X,,,,,X,,,X,,X,,,
Community Youth Center of San Francisco (CYC),API Youth School-based Outreach,Diversion,1038 Post Street,District 3,94109,Ida B Wells High School,1099 Hayes Street,94117,(415) 241-6315,5,Public School,"Wells, Ida B. High School (9-12)",,,X,,,,,X,,,X,,X,,,
Community Youth Center of San Francisco (CYC),API Youth School-based Outreach,Diversion,1038 Post Street,District 3,94109,Francisco Middle School,2190 Powell Street,94133,(415) 291-7900,3,Public School,Francisco Middle School (6-8),,X,X,,,,,X,,,X,,X,,,
Community Youth Center of San Francisco (CYC),API Youth School-based Outreach,Diversion,1038 Post Street,District 3,94109,Washsintong High School,600 32nd Avenue,94121,(415) 750-8400,1,Public School,"Washington, George High School (9-12)",,,X,,,,,X,,,X,,X,,,
Community Youth Center of San Francisco (CYC),Asian Pacific Islander Violence Prevention Services,Diversion,1038 Post Street,District 3,94109,CYC,1038,94109,4157752636,3,Non-profit's owned or leased space (not faith-based),,,,X,,X,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),Asian Pacific Islander Violence Prevention Services,Diversion,1038 Post Street,District 3,94109,"Burton, Phillip & Sala Academic High School",400 Mansell Street,94134,4154694550,10,Public School,"Burton, Phillip and Sala High School (9-12)",,,X,,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),Asian Pacific Islander Violence Prevention Services,Diversion,1038 Post Street,District 3,94109,Balboa High School,1000 Cayuga Avenue,94112,415-469-4090,11,Public School,Balboa High School (9-12),,,X,,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),Asian Pacific Islander Violence Prevention Services,Diversion,1038 Post Street,District 3,94109,Galileo High School,1150 Francisco Street,94109,415-749-3430,3,Public School,Galileo High School (9-12),,,X,,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),Asian Pacific Islander Violence Prevention Services,Diversion,1038 Post Street,District 3,94109,Wallenberg High School,40 Vega Street,94115,415-749-3469,2,Public School,"Wallenberg, Raoul High School (9-12)",,,X,,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),Bayview Youth Advocacy - Specialized Teens,Specialized Teen,1038 Post Street,Unassigned,94109,CYC Bayview Branch Office,4438 Third Street,94124,415501151,10,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,X,,,,,
Community Youth Center of San Francisco (CYC),Chinese Rec Center Program,Miscellaneous,1038 Post Street,Unassigned,94109,Chinatown,733 Kearny Street,94108,4159826353,3,SF Recreation and Park facility,,,X,X,X,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),CYC Redding Elementary School SF TEAM Program,SFTEAM_NEW,1038 Post Street,District 3,94109,,,,,,,,,,,,,,,,,,,,,,,
Community Youth Center of San Francisco (CYC),CYC Sunset District Summer Program,Comprehensive K-8 Summer Learning,1038 Post Street,District 3,94109,CYC Sunset District Summer Program,1530 43rd Avenue,94122,415-759-2811,4,Public School,"Key, Francis Scott Elementary (K-5)",,X,,,,,,X,X,X,X,,X,,,
Community Youth Center of San Francisco (CYC),Job Readiness for English Language Learners,Youth Workforce Development,1038 Post Street,District 3,94109,CYC Main Office,1038 Post Street,94109,4157752636,3,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),Newcomer Club,Teen- English Language Learner,1038 Post Street,Unassigned,94109,NCC - Galileo,1150 Francisco Street,94109,415-749-3430,3,,Galileo High School (9-12),,,X,,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),Newcomer Club,Teen- English Language Learner,1038 Post Street,Unassigned,94109,NCC - Lincoln,2162 24th Avenue,94116,(415) 759-2700,4,,"Lincoln, Abraham High School (9-12)",,,X,,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),Newcomer Club,Teen- English Language Learner,1038 Post Street,Unassigned,94109,NCC - Marshall,45 Conkling Street,94124,415-695-5612,10,,"Marshall, Thurgood High School (9-12)",,,X,,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),Newcomer Club,Teen- English Language Learner,1038 Post Street,Unassigned,94109,NCC - Washington,600 32nd Avenue,94121,415-750-8400,1,,"Washington, George High School (9-12)",,,X,,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),Newcomer Club,Teen- English Language Learner,1038 Post Street,Unassigned,94109,NCC - Mission,3750 - 18th Street,94114,415-241-6240,8,,Mission High School (9-12),,,X,,,,,X,X,X,X,,,,,
Community Youth Center of San Francisco (CYC),Newcomer Club,Teen- English Language Learner,1038 Post Street,Unassigned,94109,NCC - International,1050 York Street,94110,415-695-5781,9,,S.F. International High School (9-12),,,X,,,,,X,X,X,X,,,,,
Community Youth Center of San Francisco (CYC),Newcomer Club,Teen- English Language Learner,1038 Post Street,Unassigned,94109,CYC Main Office,1038 Post Street,94109,415-775-2636,3,,,,,X,,,,,X,X,X,X,,,,,
Community Youth Center of San Francisco (CYC),Pacific Islander Outreach Services,Diversion,1038 Post Street,District 3,94109,SFSPI Office,"5 Thomas Mellon Circle, Suite 108",94134,415-894-7143,10,Non-profit's owned or leased space (not faith-based),,,X,X,,X,,,X,,,,,,,,Samoan
Community Youth Center of San Francisco (CYC),Parent Youth Empowerment Project (PYEP),Secondary Prevention,1038 Post Street,Unassigned,94109,CYC,1038 Post Street,94109,4157752636,3,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),Parent Youth Empowerment Project (PYEP),Secondary Prevention,1038 Post Street,Unassigned,94109,Lincoln High School,2162 24th Avenue,94116,415-759-2700,4,Public School,"Lincoln, Abraham High School (9-12)",,,X,,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),Parent Youth Empowerment Project (PYEP),Secondary Prevention,1038 Post Street,Unassigned,94109,Thurgood Marshall High School,45 Conkling Street,94124,415-695-5612,10,Public School,"Marshall, Thurgood High School (9-12)",,,X,,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),Parent Youth Empowerment Project (PYEP),Secondary Prevention,1038 Post Street,Unassigned,94109,Mission High School,3750 18th Street,94114,415-241-6240,8,Public School,Mission High School (9-12),,,X,,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),Parent Youth Empowerment Project (PYEP),Secondary Prevention,1038 Post Street,Unassigned,94109,SF International High School,1050 York Street,94110,415-695-5781,9,Public School,S.F. International High School (9-12),,,X,,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),Parent Youth Empowerment Project (PYEP),Secondary Prevention,1038 Post Street,Unassigned,94109,Washington High School,600 32nd Avenue,94121,415-750-8400,1,Public School,"Washington, George High School (9-12)",,,X,,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),Parent Youth Empowerment Project (PYEP),Secondary Prevention,1038 Post Street,Unassigned,94109,Francisco Middle School,2190 Powell Street,94133,415-291-7900,3,Public School,Francisco Middle School (6-8),,X,,,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),Summer EXCEL @ Redding Elementary School,EXCEL Match Summer,1038 Post Street,District 3,94109,Redding Elementary School,1421 Pine Street,94109,4157453525,3,Public School,Redding Elementary School (K-5),,X,,,,,,X,X,,X,,,,,
Community Youth Center of San Francisco (CYC),Supporting Transitions and Aspirations Mentorship Program,Specialized Teen,1038 Post Street,Unassigned,94109,CYC Main Office,1038 Post Street,94109,4157752636,3,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,X,X,,,,,
Community Youth Center of San Francisco (CYC),SY EXCEL @ George Moscone Elementary School,ExCEL Match School Year,1038 Post Street,District 3,94109,George Moscone Elementary School,2576 Harrison Street,94110,4156955736,9,Public School,"Moscone, George Elementary School (K-5)",,X,,,,,,X,X,X,X,,,,,
Community Youth Center of San Francisco (CYC),SY EXCEL and Scholarship @ Garfield Elementary School,ExCEL Match School Year,1038 Post Street,Unassigned,94109,Garfield Elementary School,420 Filbert Street,94133,4152917924,3,Public School,Garfield Elementary School (K-5),,X,,,,,,X,,X,X,,,,,Italian
Community Youth Center of San Francisco (CYC),SY ExCEL and Scholarship @ Redding Elementary School,ExCEL Match School Year,1038 Post Street,Unassigned,94109,Redding Elementary School,1421 Pine Street,94109,4157493525,3,Public School,Redding Elementary School (K-5),,X,,,,,,X,X,,X,,,,,Arab
Community Youth Center of San Francisco (CYC),Youth Commission & Youth Empowerment Fund Support,Youth Led Organizing,1038 Post Street,Unassigned,94109,DCYF YEF,1390 Market St. Suite 900,94102,415-554-3509,6,Other,,,,X,,,,,X,,,,,,,,
Cross Cultural Family Center,CCFC After School Program at Raymond Street Center,Comprehensive K-8 Community-Based Afterschool,P. O. Box 15366,District 10,94115,CCFC at 50 Raymond,50 Raymond,94134,415-921-7019,10,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,X,X,X,X,,,
Donaldina Cameron House,Bilingual After School Program (BAP),Comprehensive K-8 Community-Based Afterschool,920 Sacramento st.,District 3,94108,Cameron House,920 Sacramento St,94108,415-781-0401,3,Faith-based organization's space,,,X,X,X,,,,X,,,X,,,,,
Donaldina Cameron House,Bilingual Youth Program (BYP) - Summer,Comprehensive K-8 Summer Learning,920 Sacramento st,District 3,94108,Cameron House,920 Sacramento St,94108,415-781-0401,3,Faith-based organization's space,,,X,,,,,,X,,,X,,,,,
Each One Reach One,ADAPT: A Dream and A Plan for Tomorrow,Detention Based,146 S Spruce Ave,Unassigned,94080,Juvenile Justice Center,375 Woodside Ave,94127,(415) 753-7500,7,,,,,X,,X,,,X,,,,,,,,
Each One Reach One,ADAPT: A Dream and A Plan for Tomorrow,Detention Based,146 S Spruce Ave,Unassigned,94080,Log Cabin Ranch,500 Log Cabin Ranch Rd.,94127,(650) 747-0257,7,,,,,X,,X,,,X,,,,,,,,
Edventure More,Camp Edmo at San Francisco Community School,Comprehensive K-8 Summer Learning,2295 Palou St,District 10,94124,San Francisco Friends School,"250 Valencia St, San Francisco, CA",94103,415.282.6673,8,Parochial or Independent School,,X,X,,,,,,X,X,X,X,,,,,
Enterprise for High School Students,Pathways-Career Ahead,Career Awareness,200 Pine Street 6th Floor,District 6,94104,Enterprise for High School Students,200 Pine Street 6th Floor,94104,415-392-7600,6,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,X,,,,,French
Enterprise for High School Students,Work Ahead,Youth Workforce Development,"200 Pine Street, 6th Floor",District 6,94104,Enterprise for High School Students,"200 Pine Street, 6th floor",94104,415-392-7600 x 1,6,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,X,X,X,,,,"French, American Sign Language"
"Episcopal Community Services of San Francisco, Inc.",Canon Barcus Community House K-6 Afterschool Program,Comprehensive K-8 Community-Based Afterschool,670 Natoma Street,District 6,94103,Canon Barcus Community House,670 Natoma Street,94103,415-487-3300 EXT. 2311,6,Public or affordable housing site,,X,X,,,,,,X,X,,,,,,X,
Exploratorium,Explainer Program: Meaningful Work & STEM Training for Specialized Teens,Youth Workforce Development,Piers 15/17,District 3,94111,Exploratorium,Piers 15/17,94111,415-528-4444,3,Non-profit's owned or leased space (not faith-based),,,,X,,X,,,X,X,X,X,,,,,
Exploratorium,XTech: STEM Academic Enrichment & Leadership Development for Youth,Specialized Teen,Pier 15,District 3,94111,Exploratorium,Pier 15,94111,415 528 4862,3,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,X,X,X,X,,,
FACES-SF,Empowering Today's Youth for Tomorrow,Comprehensive K-8 Community-Based Afterschool,100 Whitney Young Circle,District 10,94124,facesSF - Bayview Site,100 WhitneyYoung Circle,94124,415-821-7550,10,Non-profit's owned or leased space (not faith-based),,X,X,,,,,,X,X,,,,X,,,
Family Service Agency of San Francisco,Back on Track,Diversion,1500 Franklin Street,District 2,94109,Goodwill,1500 Mission Street,94105,415-575-2100,6,Non-profit's owned or leased space (not faith-based),,,,,X,X,X,,X,X,,,,,,,
Farallones Marine Sanctuary Association,Oceans Afterschool,Specialized K-8_Assigned,The Presidio 991 Marine Drive,District 2,94129,Excelsior Monroe Early Education School,260 Madrid St.,94112,(415) 469-4771,11,Public School,Monroe Elementary School (K-5),,X,,,,,,X,,,,,,,,
Farallones Marine Sanctuary Association,Oceans Afterschool,Specialized K-8_Assigned,The Presidio 991 Marine Drive,District 2,94129,Bret Harte Early Education School,950 Hollister Ave,94124,(415) 330-1545,10,Public School,"Harte, Bret Early Education School (K-5)",,X,,,,,,X,,,,,,,,
Farallones Marine Sanctuary Association,Oceans Afterschool,Specialized K-8_Assigned,The Presidio 991 Marine Drive,District 2,94129,Jefferson Out of School (OST) Program,1325 - 18th Ave,94122,(415) 759-2795,4,Public School,Jefferson Out of School Time (OST) Program (K-5),,X,,,,,,X,,,,,,,,
Filipino-American Development Foundation,Kabataan,Specialized Teen,4681 Mission St.,District 11,94112,Filipno Community Center,4681 Mission St.,94112,4153336267,11,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,,,X,"Visaya, Ilokano"
